,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.97,0.72,0.53,0.58,0.73,0.8,0.58,0.72,0.61,0.63,0.56,0.65,0.67
apolloplayer.csv,0.61,0.82,0.92,0.95,0.71,0.66,0.58,0.59,0.59,0.57,0.55,0.66,0.95
auber.csv,0.73,0.57,0.44,0.5,0.52,0.56,0.5,0.47,0.63,0.45,0.61,0.44,0.5
irrlicht.csv,0.43,0.46,0.4,0.64,0.86,0.49,0.38,0.42,0.69,0.77,0.5,0.39,0.46
k3d.csv,0.97,0.85,0.83,0.67,0.0,0.97,0.96,0.79,0.57,0.75,0.96,0.93,0.67
nug.csv,0.7,0.64,0.78,0.99,0.81,0.69,0.78,0.43,0.57,0.76,0.77,0.88,0.97
owlapi.csv,0.83,0.8,0.0,0.88,0.9,0.75,0.5,0.9,0.94,0.88,0.83,0.83,0.0
ppcboot.csv,0.67,0.59,0.52,0.8,0.73,0.66,0.64,0.57,0.76,0.63,0.7,0.54,0.59
red5.csv,0.43,0.55,0.39,0.58,0.4,0.51,0.49,0.45,0.58,0.55,0.51,0.51,0.49
redshell.csv,0.41,0.44,0.35,0.36,0.43,0.47,0.39,0.34,0.61,0.61,0.53,0.39,0.42
utgb.csv,0.94,0.57,0.5,0.99,0.52,0.95,0.96,0.56,0.57,0.69,0.78,0.97,0.94
xreal.csv,0.0,0.5,0.0,0.0,0.5,0.86,0.8,0.0,0.0,0.0,0.86,0.8,0.0
