,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.97,0.33,0.41,0.0,0.4,0.26,0.27,0.26,0.32,0.6,0.58,0.8,0.28
apolloplayer.csv,0.24,0.92,0.41,1.0,0.2,0.53,0.13,0.42,0.98,0.68,0.69,0.2,0.22
auber.csv,0.34,0.58,0.65,0.0,0.51,0.65,0.67,0.44,0.5,0.52,0.55,0.6,1.0
irrlicht.csv,0.95,0.96,0.94,0.0,0.06,0.87,0.9,0.6,0.83,0.32,1.0,0.6,0.85
k3d.csv,0.08,0.33,0.29,0.0,0.03,0.15,0.9,0.19,1.0,0.08,0.11,0.0,0.04
nug.csv,0.55,0.62,1.0,1.0,0.31,0.52,0.23,0.67,1.0,0.6,0.52,0.0,0.18
owlapi.csv,0.03,0.04,0.0,0.0,0.2,0.02,0.0,0.19,0.03,1.0,0.03,0.0,0.01
ppcboot.csv,0.47,0.5,0.35,0.0,0.37,0.48,0.33,0.4,0.95,0.48,0.38,0.0,0.52
red5.csv,0.55,0.38,0.41,1.0,0.69,0.36,0.7,0.98,0.86,0.68,0.46,0.6,0.57
redshell.csv,1.0,1.0,1.0,0.0,0.8,1.0,0.9,0.81,0.97,0.68,0.46,1.0,0.96
utgb.csv,0.21,0.42,0.06,0.0,0.94,0.12,0.17,0.42,0.53,0.52,0.21,0.4,0.16
xreal.csv,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.02,0.0,0.0,0.03,1.0,0.0
