,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,1.0,0.44,0.37,0.0,0.64,0.98,0.09,0.61,0.44,0.15,0.73,0.06,0.42
apolloplayer.csv,0.06,1.0,0.58,0.01,0.5,0.97,0.04,0.67,0.53,0.15,0.75,0.01,0.71
auber.csv,0.15,0.27,0.34,0.0,0.58,0.96,0.18,0.59,0.62,0.2,0.8,0.02,0.99
irrlicht.csv,0.14,0.24,0.36,0.0,0.29,0.95,0.15,0.65,0.55,0.13,0.99,0.02,0.62
k3d.csv,0.08,0.4,0.83,0.0,1.0,0.93,1.0,0.57,0.53,0.5,0.79,0.0,1.0
nug.csv,0.14,0.25,0.94,0.01,0.69,0.96,0.14,0.66,0.53,0.21,0.76,0.0,0.39
owlapi.csv,0.17,0.2,0.0,0.0,0.7,1.0,0.0,0.8,0.25,1.0,0.83,0.0,1.0
ppcboot.csv,0.19,0.24,0.26,0.0,0.59,0.95,0.14,0.61,1.0,0.16,0.81,0.0,0.71
red5.csv,0.16,0.31,0.3,0.01,0.57,0.94,0.2,1.0,0.53,0.22,0.8,0.03,0.52
redshell.csv,0.14,0.23,0.33,0.0,0.55,1.0,0.16,0.56,0.54,0.16,0.8,0.04,0.62
utgb.csv,0.24,0.43,0.5,0.0,1.0,1.0,0.21,0.72,0.47,0.45,0.76,0.06,0.65
xreal.csv,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.71,1.0,0.0
