,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.0,0.13,0.33,0.45,0.26,0.12,0.45,0.24,0.45,0.67,0.73,0.33,0.47
apolloplayer.csv,0.59,0.0,0.14,0.22,0.23,0.38,0.52,0.31,0.96,0.75,0.78,0.4,0.11
auber.csv,0.3,0.47,0.58,0.51,0.42,0.62,0.51,0.45,0.34,0.39,0.47,0.72,0.02
irrlicht.csv,0.89,0.94,0.81,0.47,0.16,1.0,0.88,0.48,0.76,0.41,0.04,0.89,0.64
k3d.csv,0.15,0.15,0.03,0.01,0.0,0.25,0.0,0.21,1.0,0.02,0.1,0.08,0.0
nug.csv,0.51,0.58,0.03,0.18,0.16,0.5,0.24,0.52,1.0,0.44,0.55,0.29,0.35
owlapi.csv,0.02,0.05,0.0,0.02,0.1,0.0,0.01,0.07,0.11,0.0,0.02,0.03,0.0
ppcboot.csv,0.32,0.49,0.47,0.31,0.29,0.62,0.36,0.38,0.0,0.47,0.29,0.6,0.25
red5.csv,0.46,0.25,0.44,0.34,0.58,0.5,0.49,0.0,0.86,0.45,0.39,0.55,0.64
redshell.csv,0.95,1.0,0.94,0.94,0.74,0.0,0.84,0.93,0.92,0.66,0.39,0.75,0.73
utgb.csv,0.11,0.16,0.03,0.16,0.0,0.0,0.11,0.24,0.65,0.12,0.24,0.16,0.11
xreal.csv,0.0,0.03,0.03,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.04,0.0,0.02
