,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.75,0.67,0.48,0.9,0.59
k3b.csv,0.35,0.33,0.28,0.46,0.44
myfaces.csv,0.78,0.37,0.77,0.57,0.5
robocode.csv,0.44,0.42,0.46,0.54,0.41
zildo.csv,0.73,0.42,0.43,0.74,0.53
