,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.0,0.93,0.7,0.66,0.56,0.0,0.0,0.59,0.24,0.0,0.62,0.0,0.43,0.0
biopax.csv,0.57,0.43,0.0,0.36,0.63,0.59,0.47,0.51,0.39,0.33,0.51,0.41,0.0,0.97
gnupdate.csv,0.61,0.57,0.43,0.64,0.55,0.56,1.0,0.21,0.56,0.33,0.53,0.58,0.61,0.39
les-indemodables.csv,0.4,0.26,0.55,0.58,0.5,0.37,0.52,0.21,0.42,0.8,0.58,0.98,0.45,0.36
openxava.csv,0.55,0.23,1.0,0.14,0.48,0.37,0.23,0.66,0.37,0.67,0.46,0.64,0.3,0.34
ppcboot.csv,0.66,0.68,0.65,0.63,0.61,0.91,0.62,0.41,0.55,0.0,0.4,0.58,0.64,0.61
repositorium.csv,0.34,0.42,0.35,0.37,0.31,0.09,0.18,0.93,0.23,0.31,0.28,0.04,0.06,0.34
rsyslog.csv,0.97,0.6,0.41,0.54,0.57,0.43,0.35,0.21,0.32,0.0,0.22,0.6,0.51,0.28
simplewebservices.csv,0.39,0.55,0.35,0.39,0.43,0.17,0.13,0.45,0.49,0.58,0.56,0.38,0.99,0.42
ultimairis.csv,0.0,0.38,0.62,0.45,0.6,0.17,0.0,0.43,0.89,0.09,0.43,0.38,0.47,0.52
vars-redux.csv,0.27,0.32,0.6,0.97,0.39,0.13,0.18,0.0,0.18,0.0,0.1,0.46,0.47,0.28
wow-qrsk.csv,0.36,0.55,0.49,0.46,0.97,0.64,0.29,0.22,0.11,0.68,0.1,0.39,0.51,0.37
wxstudio.csv,0.42,0.65,0.46,0.64,0.54,0.26,0.39,0.21,0.45,0.0,0.96,0.51,0.36,0.62
xqilla.csv,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.02,1.0,0.06,0.0,0.0,0.0
