,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.68,0.96,0.25,0.6,0.31,0.69,0.32,0.44,0.24,0.0,0.57,0.53,0.41,0.61
biopax.csv,0.67,0.47,0.2,0.62,0.38,0.6,0.33,0.2,0.46,0.05,0.54,0.56,0.59,0.98
gnupdate.csv,0.62,0.45,0.46,0.59,0.3,0.6,0.98,0.21,0.42,0.02,0.48,0.49,0.58,0.49
les-indemodables.csv,0.49,0.26,0.43,0.59,0.4,0.4,0.28,0.11,0.39,0.08,0.56,0.99,0.49,0.47
openxava.csv,0.63,0.2,1.0,0.17,0.27,0.4,0.13,0.25,0.3,0.09,0.5,0.61,0.31,0.44
ppcboot.csv,0.68,0.5,0.23,0.58,0.33,0.93,0.35,0.28,0.51,0.0,0.38,0.53,0.59,0.72
repositorium.csv,0.36,0.38,0.16,0.4,0.19,0.68,0.15,0.95,0.27,0.04,0.31,0.05,0.09,0.43
rsyslog.csv,0.98,0.51,0.15,0.53,0.47,0.5,0.39,0.2,0.32,0.0,0.27,0.54,0.51,0.38
simplewebservices.csv,0.68,0.42,0.19,0.52,0.23,0.66,0.33,0.21,0.4,0.05,0.51,0.55,0.99,0.52
ultimairis.csv,0.67,0.39,0.22,0.5,0.33,0.68,0.32,0.14,0.92,0.05,0.4,0.5,0.52,0.83
vars-redux.csv,0.38,0.34,0.24,0.97,0.3,0.19,0.12,0.0,0.25,0.0,0.15,0.47,0.46,0.39
wow-qrsk.csv,0.44,0.47,0.5,0.45,0.98,0.66,0.25,0.25,0.14,0.1,0.14,0.39,0.48,0.47
wxstudio.csv,0.47,0.47,0.17,0.59,0.28,0.31,0.27,0.07,0.36,0.0,0.97,0.43,0.35,0.72
xqilla.csv,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,0.0
