,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,1.0,0.07,0.62,0.62,0.65,1.0,1.0,0.47,0.83,1.21,0.64,1.0,0.73,1.09
biopax.csv,0.77,0.87,1.0,0.9,0.73,0.66,0.84,0.82,0.88,0.91,0.81,0.88,1.0,0.04
gnupdate.csv,0.57,0.56,0.63,0.67,0.69,0.74,0.01,0.82,0.68,0.95,0.73,0.73,0.71,0.67
les-indemodables.csv,0.66,0.8,0.51,0.5,0.57,0.75,0.72,0.86,0.67,0.56,0.55,0.03,0.62,0.71
openxava.csv,0.51,0.85,0.0,0.9,0.7,0.78,0.93,0.58,0.77,0.48,0.62,0.45,0.8,0.73
ppcboot.csv,0.65,0.53,0.66,0.67,0.67,0.11,0.6,0.66,0.54,1.09,0.91,0.76,0.67,0.61
repositorium.csv,0.81,0.88,0.76,0.71,0.82,0.98,0.88,0.09,0.81,0.96,0.8,0.97,0.95,0.77
rsyslog.csv,0.04,0.5,0.77,0.57,0.51,0.64,0.7,0.82,0.75,1.0,0.83,0.54,0.6,0.77
simplewebservices.csv,0.88,0.78,0.73,0.89,0.9,0.97,0.97,0.85,0.66,0.71,0.68,0.89,0.01,0.81
ultimairis.csv,1.0,0.91,0.71,0.87,0.72,0.96,1.0,0.82,0.13,0.98,0.88,0.89,0.85,0.81
vars-redux.csv,0.77,0.74,0.58,0.04,0.69,0.89,0.9,1.0,0.85,1.01,0.92,0.62,0.66,0.76
wow-qrsk.csv,0.7,0.55,0.56,0.67,0.04,0.66,0.77,0.82,0.92,0.44,0.92,0.69,0.64,0.69
wxstudio.csv,0.68,0.58,0.72,0.63,0.72,0.81,0.71,0.96,0.72,1.01,0.05,0.7,0.76,0.55
xqilla.csv,1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0,0.98,0.0,0.95,1.0,1.0,1.0
