,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.34,0.63,0.09,0.14,0.12,0.93,0.02,0.13,0.08,0.87,0.06,0.26
bigdata.csv,0.18,0.7,0.25,0.17,0.19,1.0,0.12,0.25,0.15,0.91,0.07,0.38
calcubetimer.csv,0.18,0.75,0.29,0.14,0.22,1.0,0.0,0.26,0.07,0.85,0.0,0.24
jas.csv,0.18,0.64,0.35,0.09,0.16,0.75,0.04,0.5,0.22,0.9,0.29,0.3
jbpm.csv,0.14,0.83,0.29,0.0,0.46,0.0,0.0,0.09,0.0,0.93,0.0,0.6
jgossipforum.csv,0.17,0.7,0.32,0.29,0.08,0.95,0.25,0.67,0.26,0.96,0.0,0.39
joustsim.csv,0.17,0.63,0.2,0.17,0.24,0.97,0.08,0.71,0.19,0.92,0.12,0.26
madman.csv,0.18,0.57,0.21,0.0,0.05,0.92,0.01,0.14,0.42,0.93,0.04,0.07
mule.csv,0.19,0.72,0.24,0.13,0.22,0.97,0.0,0.31,0.11,0.93,0.0,0.29
nunit.csv,0.11,0.7,0.27,0.19,0.15,0.91,0.05,0.21,0.05,0.9,0.06,0.42
piccolo2d.csv,0.16,0.83,0.35,0.35,0.22,1.0,0.2,0.28,0.3,0.9,0.0,0.38
sblim.csv,0.15,0.67,0.51,0.24,0.41,1.0,0.0,0.28,0.16,0.93,0.0,0.23
