,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv,bzbyte.csv,v8.csv
bochs.csv,0.59,0.56,0.51,0.62,0.95,0.48,0.75,0.56,0.54
bzbyte.csv,0.63,0.66,0.58,0.45,0.49,0.53,0.53,0.99,0.3
encog-java.csv,0.93,0.1,0.56,0.05,0.1,0.57,0.0,0.11,0.06
galaxium.csv,0.41,0.39,0.36,0.38,0.09,0.18,0.98,0.32,0.21
h2database.csv,0.13,0.93,0.11,0.19,0.09,0.18,0.33,0.31,0.5
haphazard.csv,0.09,0.16,0.39,0.14,0.29,0.93,0.13,0.29,0.36
jaql.csv,0.61,0.65,0.33,0.93,0.54,0.4,0.65,0.45,0.36
raven-monitoring.csv,0.54,0.2,0.97,0.36,0.49,0.48,0.41,0.5,0.44
v8.csv,0.4,0.35,0.17,0.21,0.27,0.24,0.32,0.54,1.0
