,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv,bzbyte.csv,v8.csv
bochs.csv,0.67,0.49,0.37,0.31,0.03,0.4,0.33,0.67,0.62
bzbyte.csv,0.66,0.57,0.6,0.84,0.79,0.73,0.79,0.06,0.92
encog-java.csv,0.0,0.02,0.56,0.02,0.05,0.56,0.0,0.11,0.0
galaxium.csv,0.16,0.17,0.15,0.1,0.02,0.29,0.0,0.11,0.15
h2database.csv,0.08,0.0,0.13,0.07,0.01,0.21,0.56,0.44,0.54
haphazard.csv,0.14,0.06,0.12,0.16,0.27,0.0,0.24,0.28,0.38
jaql.csv,0.3,0.29,0.33,0.0,0.49,0.52,0.37,0.17,0.38
raven-monitoring.csv,0.54,0.32,0.02,0.23,0.75,0.42,0.31,0.61,0.69
v8.csv,0.87,0.9,0.96,0.95,0.93,0.94,0.91,0.72,0.0
