,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.09,0.8,0.8,0.69
google-caja.csv,0.13,0.86,0.85,0.75
itext.csv,0.19,0.84,0.74,0.79
plee-the-bear.csv,0.29,0.73,0.61,0.52
