,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.88,0.52,0.33,0.77
google-caja.csv,0.8,0.26,0.56,0.27
itext.csv,0.44,1.0,0.56,0.2
plee-the-bear.csv,0.23,0.59,0.67,0.57
