,xmemcached.csv,httpcontentparser.csv,bdbbasic.csv,qse.csv,google-gears.csv
bdbbasic.csv,0.6,0.58,0.37,0.6,0.61
google-gears.csv,0.6,0.49,0.9,0.98,0.45
httpcontentparser.csv,0.65,0.34,1.0,0.97,0.61
qse.csv,0.76,0.6,0.74,0.26,0.5
xmemcached.csv,0.38,0.83,0.95,0.98,0.97
