,paintown.csv,triplea.csv,fbmanager.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,itext.csv,powerfolder.csv,fido.csv,megameknet.csv,fityk.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.73,0.52,0.59,0.8,0.85,0.96,0.82,0.31,0.74,0.58,0.07,0.09,0.64,0.74,1.0,0.44,0.41,1.0,0.48
fbmanager.csv,0.59,0.67,1.0,0.72,0.78,0.71,0.85,0.24,0.76,0.72,0.05,0.04,0.55,0.72,1.0,0.42,0.36,1.0,0.3
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
fityk.csv,0.63,0.64,0.54,0.78,0.75,0.54,0.88,0.17,0.77,0.77,0.04,0.12,0.33,0.98,1.0,0.39,0.35,1.0,0.44
fleet-simulator.csv,0.55,0.62,0.61,0.66,0.82,0.52,0.74,0.15,0.74,0.58,0.05,0.04,0.24,0.7,1.0,0.31,0.23,0.98,0.33
freenet.csv,0.45,0.59,0.59,1.0,0.8,0.58,0.76,0.21,0.73,0.51,0.04,0.0,0.28,0.75,0.9,0.33,0.31,1.0,0.34
geogebra.csv,0.85,0.82,0.83,0.6,0.85,0.85,0.85,0.25,0.86,0.43,0.06,0.0,0.6,0.67,1.0,0.29,1.0,1.0,0.41
google-caja.csv,0.66,0.63,0.67,0.67,0.83,0.54,1.0,0.17,0.81,0.73,0.07,0.04,0.3,0.77,1.0,0.32,0.23,0.98,0.42
hibernate.csv,0.41,0.62,0.46,0.65,0.79,0.5,0.94,0.1,0.47,0.59,0.08,0.05,0.41,0.77,0.67,0.99,0.3,0.98,0.47
itext.csv,0.83,0.64,0.57,0.83,0.9,0.65,0.8,0.27,0.85,0.97,0.07,0.0,0.46,0.53,1.0,0.44,0.48,1.0,0.49
k3b.csv,0.51,0.61,0.53,0.77,0.8,0.66,0.77,0.25,1.0,0.59,0.1,0.03,0.42,0.62,1.0,0.4,0.3,1.0,0.44
megameknet.csv,0.42,0.61,0.48,0.73,0.8,0.67,0.85,0.24,0.71,0.55,0.05,0.0,0.99,0.88,0.75,0.38,0.28,0.98,0.52
myfaces.csv,0.43,0.65,0.62,0.63,0.86,0.57,0.69,1.0,0.72,0.57,0.06,0.03,0.27,0.6,0.85,0.32,0.26,1.0,0.59
onotoa.csv,0.49,0.72,0.56,0.64,1.0,0.45,0.75,0.1,0.72,0.5,0.0,0.04,0.19,0.68,0.79,0.26,0.17,0.96,0.25
paintown.csv,1.0,0.52,0.62,0.72,0.8,0.63,0.76,0.16,0.77,0.5,0.05,0.04,0.36,0.73,1.0,0.34,0.33,1.0,0.35
powerfolder.csv,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.86,0.6,0.0,1.0
triplea.csv,0.65,0.97,0.61,0.74,0.89,0.57,0.78,0.25,0.74,0.64,0.1,0.02,0.32,0.74,0.98,0.39,0.34,1.0,0.45
xamj.csv,0.69,0.76,0.67,0.71,0.85,0.55,0.82,0.27,0.77,0.54,0.14,0.03,0.27,0.71,0.97,0.28,0.28,0.96,1.0
