,paintown.csv,triplea.csv,fbmanager.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,itext.csv,powerfolder.csv,fido.csv,megameknet.csv,fityk.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.69,0.43,0.71,0.38,0.48,0.43,0.49,0.55,0.56,0.46,0.61,0.73,0.66,0.58,0.46,0.6,0.53,0.83,0.49
fbmanager.csv,0.57,0.42,0.48,0.34,0.39,0.43,0.38,0.5,0.5,0.34,0.47,0.4,0.49,0.45,0.43,0.48,0.46,0.47,0.55
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.67,0.0,0.0,0.75,0.0,0.0,0.5
fityk.csv,0.58,0.5,0.46,0.44,0.94,0.77,0.46,0.71,0.53,0.4,0.59,0.94,0.63,0.42,0.9,0.61,0.54,0.5,0.68
fleet-simulator.csv,0.43,0.27,0.37,0.33,0.3,0.31,0.33,0.4,0.41,0.4,0.31,0.3,0.46,0.34,0.3,0.39,0.38,0.35,0.43
freenet.csv,0.48,0.35,0.39,0.43,0.47,0.46,0.45,0.5,0.46,0.51,0.42,0.63,0.62,0.4,0.39,0.5,0.57,0.38,0.51
geogebra.csv,0.92,0.59,0.83,0.47,0.41,0.69,0.69,0.73,0.86,0.71,0.45,0.4,0.78,0.83,0.32,0.56,0.77,0.89,0.72
google-caja.csv,0.4,0.32,0.36,0.35,0.34,0.33,0.35,0.43,0.45,0.33,0.45,0.34,0.45,0.34,0.32,0.44,0.46,0.32,0.44
hibernate.csv,0.97,0.41,0.92,0.58,0.47,0.69,0.58,0.59,0.93,0.62,0.76,0.53,0.84,0.92,0.9,0.73,0.66,0.46,0.69
itext.csv,0.92,0.4,0.93,0.44,0.52,0.47,0.49,0.57,0.92,0.44,0.55,0.92,0.5,0.93,0.79,0.53,0.5,0.48,0.67
k3b.csv,0.51,0.32,0.44,0.56,0.6,0.38,0.49,0.48,0.44,0.44,0.56,0.5,0.54,0.49,0.76,0.45,0.41,0.43,0.44
megameknet.csv,0.63,0.45,0.7,0.46,0.54,0.67,0.65,0.61,0.6,0.45,0.58,0.76,0.75,0.65,0.66,0.7,0.59,0.34,0.59
myfaces.csv,0.63,0.65,0.67,0.46,0.55,0.49,0.67,0.98,0.58,0.65,0.7,0.43,0.85,0.9,0.4,0.72,0.75,0.5,0.91
onotoa.csv,0.54,0.44,0.56,0.59,0.4,0.48,0.49,0.65,0.56,0.75,0.47,0.35,0.54,0.46,0.61,0.54,0.55,0.63,0.63
paintown.csv,0.5,0.48,0.5,0.4,0.43,0.58,0.42,0.47,0.42,0.93,0.44,0.37,0.53,0.45,0.62,0.49,0.55,0.41,0.6
powerfolder.csv,0.0,0.0,0.0,0.5,0.0,0.0,0.8,0.5,0.0,0.0,0.8,0.5,0.5,0.0,0.0,0.86,0.8,0.0,0.67
triplea.csv,0.47,0.42,0.42,0.34,0.61,0.52,0.36,0.49,0.45,0.38,0.52,0.49,0.5,0.48,0.32,0.56,0.44,0.35,0.46
xamj.csv,0.57,0.41,0.53,0.36,0.56,0.45,0.56,0.53,0.51,0.42,0.6,0.45,0.56,0.67,0.38,0.52,0.56,0.52,0.66
