,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.53,0.37,0.48,0.45,0.45,0.42,0.46,0.55,0.64,0.38,0.46
azureus.csv,0.4,0.38,0.33,0.41,0.45,0.59,0.57,0.34,0.43,0.41,0.4
forester-atv.csv,0.93,0.44,0.83,0.67,0.89,0.88,0.44,0.65,0.86,0.65,0.8
gabel.csv,0.0,0.39,0.69,0.42,0.59,0.6,0.88,0.35,0.0,0.7,0.93
google-collections.csv,0.35,0.36,0.32,0.4,0.46,0.37,0.4,0.34,0.41,0.39,0.4
javaprofiler.csv,0.59,0.37,0.46,0.46,0.46,0.38,0.53,0.37,0.71,0.42,0.51
mycila.csv,0.4,0.78,0.35,0.6,0.46,0.71,0.6,0.45,0.55,0.47,0.48
neodatis-odb.csv,0.41,0.35,0.47,0.63,0.49,0.73,0.52,0.78,0.88,0.42,0.56
pokenetonline.csv,0.37,0.33,0.37,0.41,0.45,0.38,0.37,0.4,0.47,0.4,0.39
rcp-company-uibindings.csv,0.37,0.33,0.44,0.39,0.46,0.5,0.52,0.72,0.45,0.43,0.63
servicestack.csv,0.5,0.5,0.63,0.76,0.67,0.78,0.93,0.9,0.57,0.95,0.0
