,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.38,0.42,0.27,0.42,0.33,0.38,0.79,0.37,0.35,0.36
electric-core.csv,0.49,0.59,0.26,0.5,0.38,0.54,0.45,0.33,0.41,0.48
jahshakafx.csv,0.34,0.64,0.96,0.38,0.32,0.39,0.62,0.39,0.43,0.36
jython.csv,0.55,0.86,0.98,0.64,0.61,0.91,0.72,0.47,0.45,0.55
kftpgrabber.csv,0.43,0.46,0.94,0.47,0.56,0.62,0.67,0.67,0.41,0.4
mvnforum.csv,0.99,0.98,0.97,0.67,0.58,0.74,0.95,0.89,0.96,0.93
openmalaria.csv,0.34,0.51,0.26,0.38,0.29,0.36,0.4,0.3,0.35,0.33
plplot.csv,0.48,0.38,0.24,0.5,0.48,0.58,0.77,0.44,0.53,0.93
popeye-chess.csv,0.38,0.65,0.94,0.47,0.41,0.48,0.5,0.47,0.41,0.41
zxing.csv,0.4,0.76,0.94,0.46,0.41,0.8,0.64,0.88,0.42,0.39
