,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.33,0.38,0.49,0.58,0.71,0.32,0.41,0.12,0.27,0.48,0.58,0.17,0.36,0.94
bibedt.csv,0.09,0.74,0.16,0.56,0.6,0.4,0.65,0.64,0.61,0.51,0.13,0.17,0.56,0.47
brlcad.csv,0.73,0.29,0.47,0.07,0.55,0.29,0.38,0.45,0.23,0.51,0.19,0.17,0.56,0.44
co-ode-owl-plugins.csv,0.34,0.6,0.63,0.54,0.75,0.09,0.44,0.24,0.49,0.67,0.58,0.58,0.57,0.94
firebreath.csv,0.65,0.72,0.72,0.64,0.2,0.46,0.67,0.67,0.6,0.8,0.26,0.46,0.49,0.48
fltk.csv,0.32,0.7,0.61,0.68,0.71,0.05,0.36,0.24,0.72,0.51,0.62,0.69,0.63,0.44
glas.csv,0.47,0.67,0.56,0.55,0.63,0.0,0.68,0.63,0.6,0.35,0.68,0.56,0.52,0.55
gretl.csv,0.55,0.71,0.55,0.59,0.69,0.8,0.69,0.65,0.59,0.43,0.57,0.52,0.47,0.6
konversation.csv,0.32,0.76,0.62,0.55,0.48,0.63,0.47,0.71,0.54,0.73,0.04,0.45,0.44,0.24
micomt.csv,0.6,0.67,0.61,0.45,0.27,0.4,0.41,0.7,0.34,0.79,0.51,0.75,0.64,0.47
openxava.csv,0.46,0.74,0.34,0.47,0.31,0.82,0.5,0.58,0.4,0.25,0.06,0.6,0.32,0.56
sumatrapdf.csv,0.6,0.62,0.35,0.54,0.48,0.17,0.61,0.68,0.83,0.67,0.42,0.67,0.0,0.05
tweetsharp.csv,0.64,0.74,0.62,0.43,0.6,0.31,0.2,0.45,0.5,0.7,0.4,0.0,0.74,0.68
wxcode.csv,0.2,0.62,0.34,0.52,0.07,0.61,0.43,0.34,0.49,0.36,0.04,0.96,0.22,0.04
