,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.92,0.92,0.61,0.54,0.94,0.55,0.77,0.5,0.93,0.75,0.54,0.77,0.71,0.7
bibedt.csv,0.45,0.5,0.89,0.64,0.53,0.58,0.43,0.77,0.48,0.93,0.91,0.88,0.48,0.59
brlcad.csv,0.6,0.78,0.62,0.9,0.41,0.92,0.61,0.86,0.88,0.9,0.92,0.93,0.44,0.9
co-ode-owl-plugins.csv,0.78,0.61,0.53,0.45,0.95,0.49,0.7,0.8,0.67,0.78,0.56,0.61,0.43,0.68
firebreath.csv,0.43,0.4,0.45,0.48,0.49,0.42,0.35,0.5,0.49,0.59,0.92,0.58,0.41,0.56
fltk.csv,0.74,0.68,0.52,0.53,0.63,0.49,0.55,0.86,0.73,0.93,0.47,0.62,0.38,0.88
glas.csv,0.49,0.43,0.44,0.43,0.52,0.48,0.34,0.37,0.39,0.4,0.5,0.47,0.38,0.43
gretl.csv,0.48,0.48,0.51,0.5,0.46,0.64,0.39,0.41,0.46,0.38,0.56,0.48,0.46,0.45
konversation.csv,0.92,0.54,0.48,0.6,0.88,0.66,0.63,0.48,0.59,0.63,0.0,0.64,0.42,0.72
micomt.csv,0.62,0.47,0.48,0.44,0.41,0.91,0.59,0.47,0.89,0.94,0.48,0.48,0.42,0.67
openxava.csv,0.53,0.5,0.66,0.49,0.5,0.4,0.42,0.35,0.44,0.42,0.8,0.54,0.47,0.47
sumatrapdf.csv,0.47,0.43,0.44,0.43,0.44,0.48,0.43,0.42,0.57,0.46,0.48,0.47,0.4,0.56
tweetsharp.csv,0.73,0.56,0.57,0.81,0.53,0.74,0.97,0.8,0.78,0.88,0.74,0.88,0.49,0.83
wxcode.csv,0.55,0.52,0.67,0.48,0.67,0.36,0.47,0.6,0.54,0.89,0.8,0.67,0.73,0.71
