,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.43,0.19,0.78,0.84
neoengine.csv,0.6,0.14,0.72,0.79
omseek.csv,0.65,0.26,0.85,1.0
pcsx2.csv,0.66,0.18,0.81,0.83
