,logicmail.csv,taverna.csv,javagroups.csv,jrefactory.csv,freenet.csv,nodal.csv,soar.csv,web-cat.csv
freenet.csv,0.65,0.59,0.64,0.53,0.99,0.55,0.27,0.69
javagroups.csv,0.57,0.26,0.97,0.31,0.65,0.45,0.0,0.4
jrefactory.csv,0.51,0.22,0.63,0.98,0.52,0.45,0.59,0.4
logicmail.csv,1.0,0.5,0.53,0.46,0.58,0.58,0.04,0.58
nodal.csv,0.44,0.46,0.34,0.31,0.42,1.0,0.4,0.45
soar.csv,0.2,0.49,0.4,0.59,0.52,0.09,0.98,0.33
taverna.csv,0.07,0.97,0.36,0.14,0.28,0.11,0.44,0.19
web-cat.csv,0.25,0.57,0.27,0.45,0.29,0.11,0.54,0.96
