,owlib.csv,xharbour.csv,prelude.csv,graphmak.csv,octave.csv,checker-framework.csv,zengine.csv,zildo.csv,opengs.csv,tokratan.csv,jmol.csv,minig.csv,moving-pictures.csv,zabbix.csv,xfce.csv,ngl.csv,mesa3d.csv,nunit.csv,elvishrayrenderer.csv
checker-framework.csv,0.74,0.8,0.94,0.51,0.86,0.69,0.0,0.81,0.68,0.61,0.48,0.8,0.52,0.94,0.65,0.98,0.67,0.72,0.77
elvishrayrenderer.csv,0.51,0.37,0.49,0.37,0.38,0.49,0.53,0.42,0.47,0.61,0.35,0.5,0.32,0.76,0.47,0.5,0.52,0.41,0.44
graphmak.csv,0.94,0.88,0.0,0.59,0.92,0.0,0.5,0.86,0.93,0.78,0.93,0.86,0.86,0.95,0.6,0.84,0.97,0.95,0.8
jmol.csv,0.53,0.3,0.47,0.36,0.43,0.39,0.42,0.33,0.38,0.59,0.38,0.56,0.33,0.89,0.47,0.6,0.49,0.39,0.34
mesa3d.csv,0.97,0.91,0.92,0.93,0.9,0.83,0.75,0.94,0.93,0.93,0.81,0.96,0.86,0.95,0.93,0.78,0.82,0.89,0.9
minig.csv,0.56,0.34,0.42,0.45,0.45,0.62,0.5,0.43,0.46,0.83,0.39,0.58,0.48,0.89,0.77,0.47,0.54,0.49,0.35
moving-pictures.csv,0.49,0.36,0.72,0.45,0.45,0.63,0.5,0.44,0.49,0.51,0.49,0.43,0.52,0.35,0.44,0.49,0.43,0.44,0.41
ngl.csv,0.64,0.35,0.75,0.38,0.65,0.68,0.55,0.45,0.46,0.62,0.41,0.59,0.48,0.5,0.37,0.56,0.39,0.55,0.38
nunit.csv,0.87,0.92,0.86,0.87,0.91,0.46,0.0,0.88,0.65,0.92,0.59,0.95,0.91,0.92,0.89,0.97,0.98,0.89,0.8
octave.csv,0.66,0.83,0.44,0.53,0.95,0.61,0.86,0.6,0.74,0.67,0.52,0.53,0.39,0.51,0.6,0.61,0.51,0.5,0.61
opengs.csv,0.95,0.63,0.0,0.61,0.8,0.78,0.0,0.55,0.61,0.66,0.52,0.7,0.52,0.86,0.53,0.61,0.67,0.66,0.88
owlib.csv,0.55,0.33,0.43,0.37,0.51,0.58,0.68,0.42,0.48,0.67,0.59,0.82,0.47,0.84,0.45,0.52,0.5,0.47,0.43
prelude.csv,0.47,0.38,0.47,0.46,0.39,0.47,0.39,0.43,0.42,0.76,0.41,0.45,0.4,0.71,0.63,0.51,0.57,0.41,0.43
tokratan.csv,0.95,0.84,0.0,0.88,0.0,0.8,0.67,0.9,0.92,0.93,0.95,0.83,0.83,0.5,0.95,0.96,0.8,0.94,0.8
xfce.csv,0.45,0.37,0.5,0.34,0.59,0.5,0.44,0.42,0.37,0.43,0.33,0.36,0.33,0.37,0.47,0.5,0.46,0.38,0.35
xharbour.csv,0.4,0.38,0.68,0.41,0.44,0.61,0.45,0.38,0.36,0.41,0.35,0.35,0.35,0.36,0.46,0.48,0.46,0.39,0.38
zabbix.csv,0.49,0.4,0.63,0.38,0.44,0.54,0.53,0.38,0.46,0.48,0.37,0.44,0.37,0.67,0.49,0.47,0.47,0.43,0.38
zengine.csv,0.38,0.33,0.49,0.38,0.42,0.41,0.42,0.36,0.34,0.38,0.32,0.31,0.28,0.32,0.36,0.43,0.38,0.34,0.31
zildo.csv,0.55,0.88,0.5,0.43,0.89,0.5,0.88,0.48,0.77,0.73,0.58,0.9,0.55,0.49,0.49,0.69,0.47,0.67,0.48
