,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.17,0.1,0.08,0.12,0.12,0.01,0.34,0.2,0.02,0.08,0.0,0.3,0.32,0.02
emeraldemu.csv,0.59,0.3,0.77,0.09,0.18,0.13,0.68,0.03,0.48,0.0,0.06,0.0,0.0,0.12
frogatto.csv,0.41,0.63,0.9,0.28,0.73,0.62,0.57,0.73,0.89,0.34,0.91,0.24,0.53,0.63
grafx2.csv,0.39,0.43,0.42,0.17,0.33,0.36,0.6,0.54,0.54,0.16,0.66,0.21,0.34,0.59
jahshakafx.csv,0.28,0.31,0.26,0.13,0.41,0.29,0.55,0.07,0.46,0.13,0.34,0.18,0.53,0.24
nassp.csv,0.17,0.16,0.0,0.15,0.16,0.11,0.11,0.41,0.22,0.13,0.09,0.12,0.53,0.07
netatalk.csv,0.37,0.62,0.78,0.41,0.58,0.7,0.79,0.42,0.76,0.74,0.72,0.33,0.32,0.65
open-beos.csv,0.4,0.49,0.57,0.13,0.54,0.26,0.21,0.86,0.65,0.68,0.16,0.18,0.79,0.33
psycle.csv,0.68,0.79,0.74,0.28,0.62,0.52,0.85,0.59,0.89,0.55,0.78,0.58,0.76,0.76
quantlib.csv,0.87,1.0,0.01,1.0,1.0,1.0,0.57,0.0,0.76,0.0,0.34,0.03,0.0,0.31
reaper-ecad.csv,0.09,0.06,0.23,0.02,0.07,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sbml.csv,0.37,0.42,0.64,0.43,0.88,0.46,0.64,0.58,0.87,0.16,0.19,0.52,0.58,0.32
unimrcp.csv,0.36,0.41,0.4,0.18,0.28,0.25,0.7,0.32,0.59,0.08,0.22,0.27,0.11,0.55
unladen-swallow.csv,0.09,0.19,0.04,0.21,0.34,0.25,0.15,0.32,0.0,0.13,0.12,0.24,0.42,0.2
