,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.53,0.73,0.75,0.71,0.75,0.97,0.46,0.49,0.75,0.61,0.91,0.43,0.59,1.0
emeraldemu.csv,0.6,0.5,0.77,0.69,0.34,0.62,0.76,0.89,0.51,0.98,0.5,0.75,0.93,0.88
frogatto.csv,0.41,0.63,0.9,0.48,0.74,0.65,0.61,0.74,0.89,0.4,0.91,0.41,0.6,0.65
grafx2.csv,0.4,0.48,0.43,0.55,0.43,0.62,0.68,0.57,0.57,0.3,0.66,0.52,0.4,0.72
jahshakafx.csv,0.33,0.42,0.56,0.56,0.46,0.56,0.64,0.6,0.52,0.33,0.47,0.53,0.57,0.83
nassp.csv,0.58,0.65,1.0,0.6,0.65,0.71,0.82,0.69,0.27,0.39,0.56,0.73,0.6,0.51
netatalk.csv,0.45,0.64,0.78,0.6,0.62,0.74,0.86,0.64,0.77,0.75,0.73,0.58,0.38,0.69
open-beos.csv,0.43,0.51,0.6,0.61,0.59,0.45,0.71,0.87,0.7,0.69,0.39,0.58,0.79,0.78
psycle.csv,0.68,0.79,0.74,0.45,0.63,0.6,0.86,0.6,0.89,0.57,0.78,0.62,0.79,0.86
quantlib.csv,0.88,1.0,1.0,1.0,1.0,1.0,0.78,1.0,0.77,1.0,0.47,0.92,1.0,0.45
reaper-ecad.csv,0.64,0.84,0.34,0.86,0.68,0.9,0.82,1.0,1.0,1.0,0.71,0.72,0.86,1.0
sbml.csv,0.5,0.47,0.64,0.56,0.89,0.53,0.65,0.58,0.87,0.38,0.31,0.57,0.62,0.63
unimrcp.csv,0.39,0.49,0.42,0.54,0.43,0.53,0.74,0.42,0.59,0.4,0.45,0.5,0.44,0.62
unladen-swallow.csv,0.72,0.58,0.96,0.61,0.64,0.65,0.67,0.42,0.92,0.55,0.85,0.61,0.51,0.78
