,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv
lazarus-ccr.csv,0.98,0.3,0.51,0.26,0.2
lcfizvtop.csv,0.21,0.36,0.16,0.0,0.96
migen.csv,0.3,0.97,0.21,0.37,0.1
mvnforum.csv,0.35,0.46,0.94,0.26,0.15
plplot.csv,0.63,0.57,0.45,0.92,0.34
