,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv
lazarus-ccr.csv,0.04,0.83,0.5,0.79,0.91
lcfizvtop.csv,0.91,0.75,0.9,1.01,0.02
migen.csv,0.89,0.04,0.85,0.76,0.92
mvnforum.csv,0.76,0.66,0.06,0.82,0.91
plplot.csv,0.93,0.96,0.93,0.14,0.59
