,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.31,0.42,0.49,0.5,0.57,0.78,0.5,0.85,0.75,0.77,0.85
badtrinitycore.csv,1.0,0.99,0.59,0.25,0.67,1.0,0.97,0.65,0.86,0.89,0.73
boost.csv,0.88,0.37,0.62,0.64,0.56,0.99,0.71,0.74,0.44,0.63,0.66
electric-core.csv,0.75,0.6,0.46,0.52,0.56,0.8,0.61,0.81,0.59,0.74,0.69
java-gnome.csv,0.76,0.79,0.88,0.94,0.59,0.23,0.64,0.76,0.82,0.72,0.71
miranda-icq.csv,0.6,1.0,0.49,0.69,0.78,0.98,0.52,0.6,0.65,0.68,0.74
ofbiz.csv,0.85,1.0,0.87,0.87,0.82,1.05,0.96,0.72,0.94,0.44,0.63
olsrd.csv,0.67,0.33,0.47,0.52,0.52,0.77,0.65,0.53,0.6,0.68,0.69
opensim4opencog.csv,0.63,0.44,0.46,0.48,0.55,1.0,0.64,0.59,0.66,0.51,0.63
t-2.csv,0.69,0.65,0.72,0.63,0.77,0.98,0.78,0.4,0.7,0.54,0.73
xcf.csv,0.84,0.4,0.48,0.51,0.73,0.61,0.54,0.88,0.61,0.58,0.35
