,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.0,3.0,1.0,9.0,12.0,0.0,1.0,22.0,0.0,2.0,1.0
badtrinitycore.csv,49.0,1.0,2.0,0.0,15.0,72.0,4.0,14.0,6.0,1.0,0.0
boost.csv,8.0,0.0,0.0,7.0,2.0,1.0,3.0,61.0,0.0,3.0,6.0
electric-core.csv,4.0,4.0,1.0,22.0,2.0,0.0,5.0,60.0,1.0,2.0,7.0
java-gnome.csv,2.0,0.0,13.0,0.0,3.0,0.0,3.0,102.0,1.0,1.0,2.0
miranda-icq.csv,3.0,0.0,7.0,36.0,9.0,0.0,6.0,12.0,0.0,1.0,0.0
ofbiz.csv,8.0,0.0,0.0,54.0,13.0,0.0,4.0,13.0,1.0,4.0,6.0
olsrd.csv,2.0,0.0,0.0,10.0,12.0,0.0,2.0,23.0,0.0,1.0,0.0
opensim4opencog.csv,3.0,0.0,7.0,5.0,6.0,0.0,0.0,95.0,2.0,1.0,0.0
t-2.csv,6.0,2.0,1.0,2.0,13.0,0.0,4.0,1.0,1.0,0.0,6.0
xcf.csv,9.0,1.0,13.0,6.0,41.0,1.0,2.0,81.0,1.0,3.0,3.0
