,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.29,0.35,0.26,0.27,0.32,0.38,0.18,0.29,0.21,0.16,0.07
badtrinitycore.csv,0.0,0.05,0.27,0.18,0.27,0.0,0.11,0.19,0.13,0.1,0.13
boost.csv,0.88,0.2,0.55,0.48,0.47,0.12,0.33,0.74,0.33,0.41,0.47
electric-core.csv,0.75,0.55,0.24,0.39,0.44,0.12,0.47,0.81,0.43,0.58,0.5
java-gnome.csv,0.21,0.45,0.15,0.03,0.39,0.12,0.54,0.38,0.76,0.34,0.17
miranda-icq.csv,0.58,1.0,0.32,0.38,0.75,0.25,0.3,0.18,0.26,0.58,0.17
ofbiz.csv,0.83,1.0,0.82,0.83,0.82,0.81,0.96,0.69,0.94,0.36,0.53
olsrd.csv,0.67,0.2,0.29,0.33,0.38,0.31,0.59,0.33,0.23,0.57,0.1
opensim4opencog.csv,0.62,0.25,0.33,0.45,0.28,0.56,0.37,0.51,0.21,0.36,0.03
t-2.csv,0.54,0.45,0.49,0.48,0.52,0.19,0.69,0.17,0.63,0.2,0.7
xcf.csv,0.83,0.25,0.37,0.4,0.47,0.19,0.42,0.88,0.25,0.33,0.3
