,pclasses.csv,re2c.csv,thrust.csv,k3b.csv,clamav.csv,acdk.csv,kindb.csv
acdk.csv,0.18,0.5,0.29,0.45,0.2,0.79,0.71
clamav.csv,0.45,0.5,0.12,0.55,0.7,0.89,0.71
k3b.csv,0.91,1.0,0.76,0.71,0.2,0.9,0.76
kindb.csv,0.45,0.83,0.35,0.45,0.0,0.87,0.82
pclasses.csv,0.73,0.0,0.06,0.02,0.55,0.33,0.12
re2c.csv,0.18,1.0,0.06,0.38,0.25,0.21,0.03
thrust.csv,0.09,0.5,0.59,0.29,0.0,0.25,0.0
