,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.03,0.57,0.02,0.91,0.43,0.78,0.62,0.43,0.04,0.37,0.19,0.96,0.29,0.23,0.35,0.69
fleet-simulator.csv,0.03,0.57,0.04,0.92,0.33,0.74,0.32,0.39,0.04,0.63,0.17,1.0,0.3,0.25,0.23,0.75
geogebra.csv,0.06,0.66,0.12,1.0,0.48,0.83,0.33,0.36,0.05,0.79,0.19,1.0,0.4,0.42,0.11,0.71
gtad.csv,0.13,0.71,0.04,1.0,0.53,0.75,0.52,0.53,0.0,0.7,0.2,1.0,0.43,0.58,0.12,0.76
hibernate.csv,0.06,0.64,0.03,0.89,0.45,0.7,0.31,0.56,0.08,0.24,0.16,1.0,0.47,0.34,0.19,0.76
ipfire-wall.csv,0.12,0.67,0.0,0.94,0.6,0.78,0.42,0.5,0.1,0.33,0.21,1.0,0.42,0.3,0.17,0.88
irplus.csv,0.06,0.56,0.0,0.94,0.56,0.65,0.41,0.57,0.12,0.45,0.19,1.0,0.48,0.43,0.18,0.78
mumble.csv,0.09,0.55,0.0,0.97,0.0,0.83,0.65,0.28,0.01,0.47,0.17,1.0,0.32,0.23,0.21,0.65
ondex.csv,0.03,0.0,0.0,1.0,0.34,0.66,0.41,0.5,0.02,0.67,0.3,1.0,0.38,0.43,0.21,0.92
powerfolder.csv,0.1,0.58,0.0,1.0,0.4,0.65,0.4,0.36,0.31,0.35,0.27,0.96,0.41,0.28,0.17,0.88
projectts.csv,0.06,0.69,0.02,0.89,0.36,0.82,0.36,0.35,0.08,0.64,0.15,0.96,0.39,0.36,0.11,0.74
quantlib.csv,0.0,0.0,0.0,0.94,0.0,0.67,0.0,0.21,0.0,0.23,0.17,1.0,0.29,0.22,0.38,0.0
smartgwt.csv,0.04,0.62,0.06,0.95,0.39,0.72,0.36,0.86,0.23,0.54,0.19,0.22,0.45,0.32,0.17,0.8
tweetsharp.csv,0.0,0.61,0.02,0.93,0.18,0.67,0.3,0.32,0.01,0.08,0.15,0.42,0.26,0.15,0.09,0.91
wxlua.csv,0.02,0.57,0.03,0.95,0.35,0.67,0.3,0.5,0.15,0.54,0.14,0.47,0.34,0.16,0.2,0.76
