,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,mevenide.csv
alembik.csv,0.05,0.12,0.0,0.26,0.05,0.01
arsenal-1.csv,0.8,0.09,0.29,0.0,0.08,0.08
barracudamvc.csv,0.2,0.82,1.0,0.97,0.98,0.84
mevenide.csv,0.8,0.48,0.19,0.03,0.05,0.2
mumble.csv,0.55,0.79,0.71,0.19,0.17,0.5
openintents.csv,0.3,0.21,1.0,0.84,0.63,0.68
