,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.87,0.53,0.68,0.55,0.54,0.54,0.9,0.35,0.6,0.68
fritzing.csv,0.6,0.5,0.39,0.46,0.31,0.48,0.9,0.76,0.55,0.61
jlinalg.csv,0.29,0.69,0.91,0.75,0.54,0.65,1.01,0.75,0.53,0.77
knowledge.csv,0.26,0.63,0.58,0.85,0.15,0.66,0.82,0.71,0.53,0.72
massiv.csv,0.86,0.7,0.66,1.0,1.0,0.03,1.0,0.46,1.0,1.0
multitude.csv,1.02,0.53,0.63,0.74,0.63,0.66,0.75,0.65,0.66,0.42
playerstage.csv,0.58,0.69,0.53,0.37,0.45,0.6,0.9,0.54,0.64,0.63
quarkplusplus.csv,1.0,0.67,0.71,0.65,0.35,0.54,0.91,0.78,0.51,0.67
rtrt-on-gpu.csv,0.82,0.95,0.91,0.93,0.97,1.1,0.24,1.01,0.99,0.78
superwaba.csv,0.71,0.37,0.53,0.62,0.46,0.56,0.68,0.72,0.69,0.6
