,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.41,0.36,0.35,0.41,0.48,0.54,0.36,0.44,0.45,0.24,0.39,0.4,0.33,0.37,0.32,0.52,0.38,0.46
baadengine.csv,0.33,0.34,0.19,0.39,0.31,0.54,0.29,0.26,0.42,0.3,0.39,0.34,0.32,0.27,0.44,0.52,0.37,0.43
bibedt.csv,0.4,0.33,0.15,0.16,0.16,0.14,0.19,0.34,0.18,0.18,0.14,0.36,0.25,0.16,0.17,0.11,0.17,0.22
chaosrts.csv,0.37,0.33,0.22,0.23,0.35,0.54,0.24,0.22,0.42,0.24,0.39,0.19,0.26,0.22,0.37,0.52,0.37,0.39
dataobjectsdotnet.csv,0.31,0.3,0.29,0.29,0.18,0.52,0.29,0.44,0.36,0.24,0.24,0.39,0.29,0.26,0.43,0.52,0.25,0.46
exl.csv,0.23,0.29,0.35,0.4,0.45,0.22,0.35,0.43,0.22,0.18,0.16,0.41,0.33,0.41,0.36,0.44,0.38,0.39
gnome-jabber.csv,0.39,0.33,0.2,0.33,0.25,0.53,0.3,0.23,0.45,0.28,0.37,0.3,0.25,0.27,0.43,0.52,0.36,0.46
gogoego.csv,0.36,0.36,0.32,0.32,0.4,0.08,0.28,0.36,0.22,0.22,0.27,0.39,0.3,0.12,0.43,0.23,0.13,0.11
httpcontentparser.csv,0.38,0.26,0.16,0.33,0.48,0.54,0.16,0.44,0.45,0.22,0.39,0.28,0.25,0.16,0.44,0.52,0.15,0.46
impala.csv,0.41,0.36,0.35,0.41,0.21,0.54,0.35,0.44,0.3,0.28,0.33,0.41,0.33,0.38,0.41,0.47,0.37,0.46
jaxlib.csv,0.13,0.21,0.33,0.34,0.31,0.1,0.31,0.4,0.19,0.3,0.16,0.39,0.29,0.24,0.17,0.51,0.34,0.26
jgameai.csv,0.32,0.36,0.35,0.31,0.42,0.54,0.24,0.18,0.42,0.18,0.39,0.38,0.31,0.3,0.43,0.52,0.36,0.46
loki-lib.csv,0.33,0.23,0.15,0.29,0.25,0.53,0.2,0.19,0.23,0.24,0.22,0.37,0.2,0.2,0.17,0.51,0.3,0.3
patterntesting.csv,0.4,0.34,0.34,0.4,0.46,0.43,0.34,0.22,0.44,0.3,0.35,0.41,0.29,0.34,0.39,0.14,0.36,0.44
snakeyaml.csv,0.39,0.17,0.22,0.15,0.12,0.18,0.15,0.29,0.18,0.24,0.31,0.31,0.22,0.14,0.41,0.19,0.14,0.17
werx.csv,0.41,0.36,0.35,0.41,0.48,0.54,0.36,0.44,0.45,0.3,0.39,0.4,0.32,0.42,0.44,0.52,0.38,0.46
zealos.csv,0.26,0.23,0.14,0.34,0.27,0.14,0.24,0.18,0.19,0.24,0.18,0.2,0.25,0.21,0.13,0.12,0.37,0.19
