,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,621.0,69.0,200.0,101.0,88.0,97.0,0.0,0.0,6.0,12.0,2.0,205.0,207.0,1.0,6.0,3.0,0.0,2.0
baadengine.csv,0.0,3.0,0.0,80.0,1.0,11.0,3.0,9.0,4.0,25.0,2.0,49.0,6.0,0.0,4.0,3.0,3.0,0.0
bibedt.csv,0.0,69.0,0.0,12.0,0.0,0.0,4.0,0.0,3.0,4.0,0.0,3.0,17.0,8.0,1.0,0.0,0.0,1.0
chaosrts.csv,1.0,2.0,0.0,40.0,2.0,11.0,0.0,4.0,17.0,17.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,0.0
dataobjectsdotnet.csv,1.0,3.0,0.0,37.0,1.0,11.0,1.0,8.0,6.0,49.0,0.0,64.0,7.0,0.0,4.0,96.0,2.0,0.0
exl.csv,1.0,1.0,0.0,73.0,0.0,3.0,5.0,8.0,2.0,49.0,2.0,72.0,8.0,0.0,3.0,0.0,2.0,0.0
gnome-jabber.csv,1.0,3.0,0.0,66.0,2.0,11.0,1.0,5.0,6.0,24.0,9.0,35.0,14.0,3.0,4.0,3.0,3.0,0.0
gogoego.csv,0.0,69.0,0.0,101.0,0.0,1.0,1.0,0.0,10.0,49.0,2.0,1.0,207.0,1.0,74.0,0.0,0.0,0.0
httpcontentparser.csv,1.0,2.0,0.0,101.0,88.0,97.0,3.0,76.0,187.0,49.0,50.0,30.0,0.0,3.0,74.0,96.0,0.0,53.0
impala.csv,621.0,69.0,200.0,101.0,0.0,97.0,9.0,76.0,1.0,49.0,50.0,205.0,1.0,4.0,2.0,0.0,1.0,0.0
jaxlib.csv,2.0,69.0,0.0,101.0,2.0,0.0,4.0,8.0,2.0,0.0,0.0,5.0,7.0,3.0,1.0,0.0,2.0,3.0
jgameai.csv,0.0,3.0,0.0,101.0,0.0,11.0,1.0,1.0,6.0,2.0,2.0,5.0,8.0,0.0,0.0,3.0,0.0,0.0
loki-lib.csv,0.0,3.0,0.0,55.0,2.0,11.0,5.0,2.0,5.0,9.0,2.0,205.0,16.0,0.0,0.0,3.0,0.0,0.0
patterntesting.csv,1.0,2.0,0.0,77.0,0.0,7.0,4.0,1.0,6.0,24.0,2.0,71.0,7.0,0.0,3.0,0.0,3.0,0.0
snakeyaml.csv,0.0,69.0,0.0,16.0,8.0,1.0,1.0,0.0,1.0,11.0,2.0,1.0,26.0,5.0,74.0,0.0,0.0,0.0
werx.csv,1.0,3.0,0.0,83.0,0.0,11.0,5.0,8.0,6.0,25.0,2.0,70.0,8.0,0.0,4.0,3.0,2.0,0.0
zealos.csv,1.0,1.0,0.0,66.0,0.0,1.0,14.0,0.0,0.0,11.0,5.0,5.0,2.0,2.0,0.0,0.0,2.0,0.0
