,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.03,0.8,0.38,0.9,0.31,0.42,0.59,0.77,0.46,0.34,0.09,0.52,0.66,0.21
encog-cs.csv,0.02,0.57,0.37,0.74,0.36,0.47,0.87,0.92,0.57,0.22,0.05,0.36,0.75,0.45
extprosys.csv,0.03,0.84,0.56,0.94,0.42,0.4,0.26,0.73,0.52,0.3,0.06,0.45,0.79,0.44
ibatisdb.csv,0.0,0.35,0.29,0.21,0.32,0.32,0.3,0.37,0.48,0.24,0.1,0.08,0.09,0.69
intact.csv,0.0,0.77,0.4,0.81,0.36,0.52,0.29,0.56,0.53,0.32,0.08,0.39,0.74,0.36
japano.csv,0.0,0.91,0.46,0.89,0.44,0.41,0.85,0.85,0.51,0.29,0.04,0.51,0.74,0.38
lockss.csv,0.04,0.48,0.38,0.42,0.28,0.3,0.76,0.67,0.32,0.4,0.09,0.26,0.49,0.52
ofbiz.csv,0.0,0.84,0.44,0.54,0.32,0.39,0.58,0.59,0.51,0.21,0.07,0.4,0.77,0.26
officefloor.csv,0.03,0.37,0.31,0.64,0.28,0.33,0.05,0.51,0.45,0.2,0.12,0.08,0.36,0.39
opennms.csv,0.0,0.57,0.04,0.14,0.55,0.16,0.59,0.09,0.34,0.33,0.08,0.37,0.56,0.09
rohxel.csv,0.04,0.56,0.38,0.43,0.14,0.35,0.76,0.73,0.5,0.27,0.08,0.44,0.38,0.43
roolo.csv,0.03,0.77,0.45,0.82,0.44,0.41,0.49,0.56,0.4,0.27,0.05,0.68,0.72,0.2
sevenupdate.csv,0.02,0.85,0.44,0.94,0.38,0.45,0.86,0.97,0.51,0.28,0.05,0.52,0.78,0.41
