,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.72,0.58,0.52,0.83,0.46,0.52,0.49,0.33,0.54,0.27,0.69,0.62,0.55,0.34
encog-cs.csv,0.41,0.41,0.46,0.38,0.51,0.58,0.33,0.37,0.64,0.27,0.09,0.26,0.64,0.61
extprosys.csv,0.71,0.0,0.67,0.57,0.3,0.52,0.18,0.52,0.17,0.0,0.57,0.54,0.4,0.59
ibatisdb.csv,0.0,0.25,0.3,0.14,0.36,0.34,0.22,0.27,0.54,0.36,0.39,0.06,0.06,0.79
intact.csv,0.0,0.56,0.56,0.67,0.53,0.57,0.21,0.44,0.64,0.56,0.74,0.43,0.68,0.51
japano.csv,0.0,0.0,0.58,0.27,0.59,0.47,0.0,0.77,0.17,0.48,0.2,0.37,0.29,0.49
lockss.csv,0.82,0.37,0.49,0.31,0.36,0.34,0.66,0.53,0.27,0.6,0.72,0.32,0.41,0.75
ofbiz.csv,0.0,0.61,0.35,0.42,0.45,0.55,0.48,0.46,0.6,0.27,0.64,0.39,0.71,0.38
officefloor.csv,0.8,0.26,0.32,0.52,0.29,0.31,0.04,0.37,0.48,0.27,0.69,0.06,0.27,0.5
opennms.csv,0.0,0.0,0.02,0.1,0.66,0.12,0.48,0.06,0.3,0.48,0.25,0.39,0.49,0.07
rohxel.csv,0.84,0.44,0.46,0.32,0.17,0.41,0.68,0.61,0.46,0.27,0.33,0.48,0.3,0.64
roolo.csv,0.67,0.56,0.48,0.58,0.51,0.47,0.39,0.42,0.49,0.5,0.3,0.78,0.5,0.32
sevenupdate.csv,0.05,0.77,0.0,0.0,0.29,0.0,0.0,0.0,0.17,0.53,0.05,0.0,0.27,0.0
