,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,1.0,0.71,0.51,0.84,0.46,0.5,0.46,0.67,0.68,1.0,0.71,0.8,0.66,0.33
encog-cs.csv,1.0,0.43,0.43,0.65,0.68,0.87,0.97,0.91,0.64,0.23,1.0,0.6,0.78,0.92
extprosys.csv,1.0,0.82,0.66,0.98,0.93,0.5,0.15,0.6,0.95,0.91,0.89,0.65,0.93,0.92
ibatisdb.csv,0.0,0.22,0.26,0.12,0.32,0.3,0.18,0.23,0.52,0.32,0.34,0.05,0.05,0.78
intact.csv,0.0,0.67,0.58,0.73,0.54,0.53,0.18,0.4,0.68,0.77,0.84,0.4,0.69,0.5
japano.csv,0.0,0.94,0.87,0.9,0.86,0.77,0.95,0.74,0.94,0.73,0.76,0.9,0.86,0.78
lockss.csv,1.0,0.33,0.47,0.27,0.32,0.3,0.69,0.52,0.23,0.59,0.76,0.3,0.37,0.94
ofbiz.csv,0.0,0.78,0.92,0.4,0.43,0.6,0.46,0.42,0.61,0.23,0.89,0.35,0.75,0.36
officefloor.csv,1.0,0.22,0.28,0.49,0.25,0.27,0.03,0.36,0.44,0.23,0.68,0.05,0.23,0.47
opennms.csv,0.0,0.45,0.02,0.08,0.64,0.1,0.49,0.05,0.26,0.45,0.21,0.35,0.47,0.06
rohxel.csv,1.0,0.41,0.43,0.28,0.14,0.37,0.67,0.58,0.41,0.23,0.29,0.45,0.26,0.72
roolo.csv,1.0,0.67,0.89,0.77,0.93,0.77,0.36,0.41,0.52,0.64,0.92,0.8,0.77,0.33
sevenupdate.csv,1.0,0.73,1.0,1.0,0.82,1.0,0.97,1.0,0.94,0.59,0.97,1.0,0.92,1.0
