,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,nunit.csv
calcubetimer.csv,0.48,0.86,0.35,0.58,0.45,0.57
chaperon.csv,0.83,0.9,0.68,0.86,0.7,0.61
mule.csv,0.41,0.0,0.92,0.67,0.43,0.56
nunit.csv,0.53,0.49,0.45,0.55,0.65,0.61
springside.csv,0.37,0.51,0.5,0.43,0.42,0.69
swtfox.csv,0.61,0.51,0.75,0.54,0.92,0.58
