,pci_20
qgis.csv,0.63
migen.csv,0.52
jsecurity.csv,0.74
jnode.csv,0.54
jhotdraw.csv,0.46
sidekar.csv,0.88
emeraldemu.csv,0.53
emisview.csv,0.86
autoopencas.csv,0.39
mcmc-jags.csv,0.67
cataclysmos.csv,0.67
fontforge.csv,0.82
badtrinity-zero.csv,0.59
cleartk.csv,0.89
delphilhlplib.csv,0.73
mcore3d.csv,0.57
applet2app.csv,0.48
upp-mirror.csv,0.94
magicwars.csv,0.74
xbplayer.csv,0.53
zildo.csv,0.57
jython.csv,0.96
ildjit.csv,0.44
gbif-providertoolkit.csv,0.9
jfreereport.csv,0.47
opennms.csv,0.78
yield.csv,0.92
trackit.csv,0.8
scen-connect.csv,0.85
freelords.csv,0.49
piccolo2d.csv,0.35
bochs.csv,0.62
intact.csv,0.89
htmlunit.csv,0.4
open-beos.csv,0.56
libopenmetaverse.csv,0.43
popeye-chess.csv,0.4
jbpm.csv,0.82
cities3d.csv,0.62
springside.csv,0.75
k3d.csv,0.62
kvs.csv,0.92
firebreath.csv,0.5
fltk.csv,0.56
bullet.csv,0.52
mobicents.csv,0.6
maya-work-in-progress.csv,0.7
betoffice.csv,0.85
scite-ru.csv,0.83
ifmo-game-1.csv,0.67
qcad2.csv,0.49
xmemcached.csv,0.86
ldview.csv,0.62
rohxel.csv,0.0
jpaul.csv,0.53
pfaedit.csv,0.52
gbif-indexingtoolkit.csv,0.56
levent.csv,0.52
neodatis-odb.csv,0.47
pidgin.csv,0.39
swtfox.csv,0.41
aime.csv,0.45
mvdsv.csv,0.39
japano.csv,0.44
jitterbit.csv,0.99
encog-cs.csv,0.36
red5.csv,0.89
co-ode-owl-plugins.csv,0.45
exordium.csv,0.5
cornerstone.csv,0.37
