,ifa
qgis.csv,0.0
migen.csv,0.0
jsecurity.csv,7.0
jnode.csv,91.0
jhotdraw.csv,0.0
sidekar.csv,0.0
emeraldemu.csv,1.0
emisview.csv,6.0
autoopencas.csv,18.0
mcmc-jags.csv,1.0
cataclysmos.csv,11.0
fontforge.csv,1.0
badtrinity-zero.csv,0.0
cleartk.csv,0.0
delphilhlplib.csv,0.0
mcore3d.csv,1.0
applet2app.csv,0.0
upp-mirror.csv,0.0
magicwars.csv,0.0
xbplayer.csv,2.0
zildo.csv,1.0
jython.csv,0.0
ildjit.csv,1.0
gbif-providertoolkit.csv,2.0
jfreereport.csv,0.0
opennms.csv,0.0
yield.csv,2.0
trackit.csv,2.0
scen-connect.csv,61.0
freelords.csv,1.0
piccolo2d.csv,4.0
bochs.csv,0.0
intact.csv,3.0
htmlunit.csv,1.0
open-beos.csv,3.0
libopenmetaverse.csv,0.0
popeye-chess.csv,2.0
jbpm.csv,8.0
cities3d.csv,35.0
springside.csv,5.0
k3d.csv,3.0
kvs.csv,5.0
firebreath.csv,1.0
fltk.csv,1.0
bullet.csv,0.0
mobicents.csv,3.0
maya-work-in-progress.csv,0.0
betoffice.csv,1.0
scite-ru.csv,0.0
ifmo-game-1.csv,15.0
qcad2.csv,6.0
xmemcached.csv,3.0
ldview.csv,2.0
rohxel.csv,0.0
jpaul.csv,0.0
pfaedit.csv,0.0
gbif-indexingtoolkit.csv,0.0
levent.csv,0.0
neodatis-odb.csv,0.0
pidgin.csv,0.0
swtfox.csv,1.0
aime.csv,1.0
mvdsv.csv,25.0
japano.csv,0.0
jitterbit.csv,0.0
encog-cs.csv,5.0
red5.csv,0.0
co-ode-owl-plugins.csv,7.0
exordium.csv,0.0
cornerstone.csv,3.0
