,d2h
qgis.csv,0.64
migen.csv,0.58
jsecurity.csv,0.79
jnode.csv,0.75
jhotdraw.csv,0.59
sidekar.csv,0.88
emeraldemu.csv,0.44
emisview.csv,0.75
autoopencas.csv,0.87
mcmc-jags.csv,0.93
cataclysmos.csv,0.21
fontforge.csv,0.77
badtrinity-zero.csv,0.71
cleartk.csv,0.83
delphilhlplib.csv,0.81
mcore3d.csv,0.61
applet2app.csv,0.56
upp-mirror.csv,0.84
magicwars.csv,0.67
xbplayer.csv,0.59
zildo.csv,0.6
jython.csv,0.46
ildjit.csv,0.78
gbif-providertoolkit.csv,0.72
jfreereport.csv,0.54
opennms.csv,0.84
yield.csv,0.83
trackit.csv,0.93
scen-connect.csv,1.02
freelords.csv,0.65
piccolo2d.csv,0.48
bochs.csv,0.63
intact.csv,0.9
htmlunit.csv,0.47
open-beos.csv,0.57
libopenmetaverse.csv,0.7
popeye-chess.csv,0.41
jbpm.csv,0.87
cities3d.csv,0.47
springside.csv,0.79
k3d.csv,0.7
kvs.csv,0.81
firebreath.csv,0.57
fltk.csv,0.62
bullet.csv,0.74
mobicents.csv,0.67
maya-work-in-progress.csv,0.72
betoffice.csv,0.88
scite-ru.csv,0.81
ifmo-game-1.csv,0.77
qcad2.csv,0.47
xmemcached.csv,0.61
ldview.csv,0.77
rohxel.csv,0.97
jpaul.csv,0.43
pfaedit.csv,0.53
gbif-indexingtoolkit.csv,0.6
levent.csv,0.63
neodatis-odb.csv,0.7
pidgin.csv,0.42
swtfox.csv,0.75
aime.csv,0.46
mvdsv.csv,0.54
japano.csv,0.82
jitterbit.csv,0.65
encog-cs.csv,0.65
red5.csv,0.81
co-ode-owl-plugins.csv,0.86
exordium.csv,0.52
cornerstone.csv,0.66
