,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.43,0.45,0.64,0.4,0.33,0.28,0.42,0.44,0.34,0.46,0.45
haphazard.csv,0.47,0.63,0.62,0.58,0.65,0.52,0.77,0.5,0.57,0.82,0.53
jicarilla.csv,0.88,0.0,0.75,0.5,0.0,0.0,0.8,0.45,0.0,0.92,0.67
jruby.csv,0.45,0.7,0.9,0.98,0.52,0.48,0.5,0.31,0.43,0.4,0.54
optalgtoolkit.csv,0.79,0.64,0.6,0.53,0.7,0.55,0.55,0.34,0.61,0.77,0.95
ossim.csv,0.96,0.75,0.59,0.62,0.5,0.47,0.49,0.3,0.43,0.42,0.81
projectts.csv,0.47,0.52,0.75,0.56,0.37,0.43,0.56,0.67,0.37,0.43,0.45
qedo.csv,0.94,0.86,0.66,0.78,0.95,0.44,0.93,0.36,0.91,0.76,0.9
sabbu.csv,0.45,0.51,0.9,0.46,0.51,0.83,0.5,0.83,0.56,0.62,0.67
vxl.csv,0.42,0.58,0.62,0.65,0.48,0.53,0.79,0.41,0.39,0.39,0.48
zact.csv,0.68,0.89,0.9,0.59,0.86,0.5,0.59,0.55,0.93,0.6,0.94
