,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.69,0.11,0.15,0.22,0.18,0.33,0.33,0.98,0.26,0.14
ivatamasks.csv,0.6,0.88,0.17,0.99,0.57,0.66,0.52,0.3,0.69,0.35
orc.csv,0.09,0.37,1.0,0.11,0.57,0.85,0.4,0.26,0.39,0.16
plato.csv,0.11,0.88,0.15,0.69,0.67,1.0,0.56,0.27,0.81,0.31
rodin-b-sharp.csv,0.59,0.73,0.26,0.52,0.33,0.48,0.98,0.23,0.47,0.08
umber.csv,1.0,0.44,0.18,0.56,0.25,0.3,0.46,0.25,0.33,0.23
unicase.csv,0.12,0.76,0.22,0.65,0.46,0.76,0.55,0.29,0.99,0.43
uwom.csv,0.39,0.47,0.25,0.38,0.42,0.74,0.53,0.33,0.61,0.97
vienna-add-in.csv,0.53,0.91,0.09,0.66,0.99,0.68,0.45,0.29,0.72,0.32
wpdev.csv,0.41,1.0,0.19,0.81,0.8,0.89,0.53,0.3,0.84,0.36
