,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.67,0.07,0.15,0.15,0.12,0.24,0.3,0.97,0.19,0.11
ivatamasks.csv,0.84,0.71,0.53,0.99,0.48,0.54,0.62,0.56,0.6,0.57
orc.csv,0.13,0.26,1.0,0.07,0.43,0.39,0.39,0.48,0.32,0.11
plato.csv,0.19,0.71,0.45,0.23,0.43,1.0,0.63,0.43,0.35,0.42
rodin-b-sharp.csv,0.62,0.62,0.43,0.43,0.24,0.37,0.98,0.29,0.37,0.1
umber.csv,1.0,0.33,0.42,0.48,0.17,0.22,0.47,0.29,0.25,0.29
unicase.csv,0.18,0.59,0.64,0.54,0.38,0.59,0.65,0.59,0.99,0.7
uwom.csv,0.57,0.35,0.48,0.28,0.33,0.5,0.64,0.58,0.53,0.96
vienna-add-in.csv,0.74,0.0,0.32,0.57,0.99,0.52,0.55,0.58,0.58,0.54
wpdev.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.17
