,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.07,0.0,0.06,0.0,0.0,0.38,0.19,0.0,0.08,0.05
ivatamasks.csv,0.42,0.5,0.67,0.0,0.66,0.38,0.53,0.47,0.48,0.7
orc.csv,0.42,0.0,0.0,0.02,0.76,0.88,0.21,0.43,0.34,0.02
plato.csv,0.87,0.5,0.79,0.94,0.83,0.0,0.71,0.85,0.9,0.85
rodin-b-sharp.csv,0.13,0.0,0.18,0.15,0.05,0.25,0.0,0.18,0.2,0.27
umber.csv,0.0,0.0,0.31,0.32,0.05,0.5,0.25,0.15,0.12,0.27
unicase.csv,0.55,0.5,0.59,0.64,0.37,0.62,0.48,0.62,0.01,0.54
uwom.csv,0.47,0.0,0.24,0.09,0.15,0.75,0.52,0.38,0.45,0.0
vienna-add-in.csv,0.42,1.0,0.66,0.57,0.0,0.62,0.52,0.57,0.65,0.58
wpdev.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.99,0.96
