,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.75,1.0,0.18,1.0,1.0,0.75,0.43,1.0,0.84,0.34
ivatamasks.csv,0.44,0.99,0.1,1.0,0.62,0.88,0.42,0.2,0.78,0.23
orc.csv,0.08,1.0,1.0,0.86,0.59,0.84,0.48,0.18,0.68,0.59
plato.csv,0.08,0.99,0.08,0.63,0.63,1.0,0.41,0.16,0.73,0.2
rodin-b-sharp.csv,0.61,1.0,0.19,0.84,0.89,0.88,1.0,0.22,0.81,0.08
umber.csv,1.0,1.0,0.12,0.75,0.86,0.67,0.5,0.25,0.82,0.21
unicase.csv,0.09,0.99,0.13,0.67,0.66,0.85,0.46,0.18,1.0,0.29
uwom.csv,0.3,1.0,0.17,0.86,0.8,0.82,0.43,0.24,0.75,1.0
vienna-add-in.csv,0.39,0.98,0.05,0.69,1.0,0.83,0.38,0.19,0.74,0.22
wpdev.csv,0.26,1.0,0.1,0.68,0.67,0.83,0.36,0.17,0.73,0.22
