,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.52,0.5,0.74,0.46,0.67,0.39,0.56,0.45,0.52,0.57,0.63
azureus.csv,0.0,0.0,0.0,0.0,0.09,0.54,0.73,0.72,0.27,0.76,0.37
forester-atv.csv,0.44,0.65,0.35,0.1,0.15,0.44,0.51,0.29,0.61,0.31,0.05
gabel.csv,0.01,0.68,0.53,0.46,0.85,0.43,0.5,0.7,0.21,0.31,0.25
google-collections.csv,0.84,0.0,0.0,0.0,0.0,0.0,0.17,0.65,0.0,0.0,0.13
javaprofiler.csv,0.46,0.35,0.58,0.55,0.7,0.33,0.63,0.57,0.52,0.7,0.78
mycila.csv,0.7,0.31,0.57,0.4,0.42,0.8,0.52,0.58,0.07,0.29,0.3
neodatis-odb.csv,0.0,0.45,0.54,0.71,0.38,0.45,0.63,0.24,0.07,0.7,0.62
pokenetonline.csv,0.7,0.6,0.23,0.47,0.45,0.5,0.41,0.74,0.57,0.0,0.43
rcp-company-uibindings.csv,0.69,0.6,0.51,0.47,0.63,0.52,0.61,0.33,0.39,0.88,0.33
servicestack.csv,0.02,0.7,0.32,0.19,0.0,0.12,0.09,0.16,0.77,0.15,0.04
