,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.69,0.82,0.31,0.87,0.6,0.93,0.69,0.69,0.54,0.64,0.63
azureus.csv,1.0,1.0,1.0,1.0,0.98,0.79,0.34,0.55,0.94,0.6,0.89
forester-atv.csv,0.61,0.49,0.77,0.92,0.88,0.64,0.65,0.75,0.51,0.93,0.96
gabel.csv,0.99,0.55,0.53,0.82,0.3,0.71,0.57,0.61,0.82,0.73,0.79
google-collections.csv,0.19,1.0,1.0,1.0,1.0,1.0,0.96,0.72,1.0,1.0,0.97
javaprofiler.csv,0.59,0.9,0.52,0.78,0.63,0.93,0.64,0.77,0.55,0.55,0.28
mycila.csv,0.35,0.76,0.72,0.8,0.67,0.29,0.61,0.62,0.97,0.8,0.9
neodatis-odb.csv,1.03,0.87,0.66,0.39,0.89,0.61,0.48,0.82,0.94,0.62,0.48
pokenetonline.csv,0.55,0.75,0.95,0.85,0.86,0.71,0.88,0.38,0.78,1.0,0.88
rcp-company-uibindings.csv,0.36,0.71,0.6,0.85,0.51,0.63,0.56,0.72,0.72,0.14,0.74
servicestack.csv,0.97,0.4,0.74,0.84,1.0,0.91,0.93,0.87,0.31,0.88,0.97
