,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.52,0.73,0.72,0.7,0.75,0.5,0.61,0.42,0.47,0.59,0.71
azureus.csv,0.94,1.0,0.93,1.0,1.0,0.9,0.71,0.82,0.88,0.99,0.93
forester-atv.csv,0.39,0.65,0.31,0.08,0.12,0.4,0.5,0.25,0.59,0.29,0.04
gabel.csv,0.01,0.73,0.48,0.49,0.88,0.4,0.46,0.87,0.18,0.27,0.21
google-collections.csv,0.81,0.96,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0
javaprofiler.csv,0.41,0.92,0.55,0.76,0.88,0.8,0.71,0.88,0.47,0.78,0.77
mycila.csv,0.65,0.27,0.66,0.38,0.38,0.8,0.5,0.6,0.06,0.25,0.27
neodatis-odb.csv,0.75,0.65,0.55,0.7,0.38,0.4,0.61,0.2,0.06,0.86,0.59
pokenetonline.csv,0.78,0.92,0.86,0.92,0.75,0.5,1.0,0.75,0.94,0.9,0.53
rcp-company-uibindings.csv,0.64,0.77,0.48,0.57,0.62,0.5,0.61,0.28,0.35,0.86,0.29
servicestack.csv,0.02,0.69,0.28,0.16,0.0,0.1,0.07,0.13,0.76,0.12,0.03
