,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.44,0.46,0.36,0.41
n2cms.csv,0.73,0.4,0.32,0.42
nassp.csv,0.33,0.36,0.3,0.59
nug.csv,0.54,0.08,0.68,0.3
