,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.3,0.27,0.78,0.33
n2cms.csv,0.2,0.37,0.69,0.65
nassp.csv,0.3,0.07,0.31,0.26
nug.csv,0.86,0.18,0.22,0.59
