,plearn.csv,re2c.csv,aubit4gl.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,glelite.csv
aubit4gl.csv,0.43,0.36,0.69,0.68,0.6,0.54,1.0
glelite.csv,0.29,0.11,0.55,0.44,0.69,0.27,1.0
moving-pictures.csv,0.41,0.15,0.5,0.67,0.83,0.93,1.0
plearn.csv,0.44,0.06,0.31,0.32,0.83,0.24,0.98
re2c.csv,0.37,0.86,0.48,0.5,0.74,0.38,1.0
rebecca-aiml.csv,0.39,0.17,0.56,0.51,0.82,0.7,1.0
xfce.csv,0.45,0.07,0.48,0.48,0.79,0.26,0.98
