,plearn.csv,re2c.csv,aubit4gl.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,glelite.csv
aubit4gl.csv,0.86,0.91,0.47,0.68,0.93,0.68,0.69
glelite.csv,0.4,0.42,0.35,0.31,0.46,0.43,0.51
moving-pictures.csv,0.44,0.4,0.62,0.44,0.83,0.93,0.45
plearn.csv,0.56,0.55,0.94,0.48,0.76,0.49,0.61
re2c.csv,0.76,0.86,0.96,0.45,0.79,0.57,0.73
rebecca-aiml.csv,0.52,0.43,0.34,0.32,0.41,0.59,0.41
xfce.csv,0.53,0.37,0.52,0.35,0.43,0.46,0.5
