,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv,skia.csv,tencompetence.csv
bulmages.csv,0.33,0.41,0.21,0.18,0.22,0.13,0.15,0.36,0.17,0.36,0.16,0.15,0.34,0.14,0.18,0.45,0.22,0.23
codeblocks.csv,0.26,0.27,0.21,0.21,0.25,0.25,0.28,0.23,0.42,0.31,0.27,0.35,0.3,0.27,0.18,0.2,0.29,0.16
grisbi.csv,0.29,0.32,0.35,0.29,0.41,0.33,0.21,0.41,0.31,0.22,0.27,0.4,0.41,0.25,0.35,0.42,0.29,0.42
libmesh.csv,0.27,0.34,0.24,0.29,0.39,0.4,0.35,0.31,0.33,0.36,0.33,0.43,0.41,0.34,0.39,0.44,0.3,0.34
mesa3d.csv,0.17,0.27,0.21,0.24,0.3,0.24,0.19,0.36,0.22,0.27,0.26,0.2,0.25,0.23,0.21,0.17,0.23,0.16
panda3d.csv,0.3,0.21,0.29,0.29,0.17,0.24,0.2,0.4,0.19,0.2,0.24,0.23,0.35,0.32,0.26,0.15,0.19,0.28
proftp.csv,0.3,0.15,0.18,0.28,0.12,0.16,0.15,0.25,0.12,0.31,0.14,0.12,0.1,0.25,0.34,0.44,0.17,0.41
qmmp.csv,0.21,0.2,0.29,0.26,0.27,0.25,0.26,0.39,0.38,0.34,0.22,0.28,0.33,0.3,0.25,0.39,0.29,0.33
red5.csv,0.32,0.38,0.26,0.24,0.39,0.3,0.33,0.26,0.42,0.35,0.35,0.41,0.4,0.29,0.26,0.45,0.32,0.28
skia.csv,0.23,0.17,0.2,0.26,0.18,0.15,0.15,0.36,0.21,0.14,0.18,0.15,0.12,0.16,0.22,0.39,0.17,0.3
soar.csv,0.33,0.37,0.33,0.29,0.4,0.37,0.31,0.37,0.33,0.36,0.34,0.35,0.41,0.32,0.4,0.45,0.35,0.44
super-tux.csv,0.23,0.39,0.18,0.24,0.43,0.36,0.34,0.25,0.4,0.35,0.33,0.41,0.37,0.3,0.34,0.43,0.33,0.18
t-2.csv,0.28,0.37,0.18,0.29,0.35,0.36,0.35,0.17,0.39,0.36,0.31,0.35,0.37,0.34,0.24,0.33,0.29,0.33
tart.csv,0.18,0.25,0.24,0.26,0.22,0.37,0.33,0.35,0.35,0.36,0.2,0.15,0.24,0.25,0.32,0.36,0.26,0.27
tcvp.csv,0.35,0.35,0.38,0.32,0.44,0.4,0.35,0.42,0.49,0.2,0.31,0.43,0.43,0.36,0.41,0.45,0.29,0.45
tencompetence.csv,0.27,0.36,0.33,0.22,0.34,0.4,0.35,0.44,0.46,0.36,0.26,0.31,0.39,0.29,0.38,0.33,0.26,0.41
utgb.csv,0.21,0.24,0.24,0.31,0.2,0.25,0.17,0.34,0.15,0.18,0.21,0.17,0.22,0.21,0.16,0.19,0.25,0.19
xbrlapi.csv,0.23,0.3,0.35,0.29,0.15,0.13,0.2,0.38,0.17,0.36,0.15,0.16,0.34,0.32,0.14,0.44,0.14,0.32
