,x4x.csv,graphmak.csv,rectracker.csv,pdfedit.csv,wxlua.csv,jruby.csv
graphmak.csv,0.55,0.68,0.16,0.56,0.28,0.22
jruby.csv,0.4,0.28,0.71,0.16,0.25,0.67
pdfedit.csv,0.24,0.48,0.66,0.79,0.39,0.44
rectracker.csv,0.95,0.72,0.84,0.93,0.65,0.98
wxlua.csv,0.24,0.48,0.48,0.67,0.93,0.13
x4x.csv,0.83,0.88,0.34,0.81,0.52,0.97
