,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.83,1.0,0.69,0.0,0.7,0.51,0.64,0.56,0.95,0.8,0.92,0.62,0.63,0.59,0.74
encog-cs.csv,0.76,0.5,0.4,1.0,0.77,0.84,0.91,0.89,0.0,0.82,0.78,0.92,0.56,0.97,0.9
extprosys.csv,0.94,1.0,0.01,0.86,0.91,0.86,0.73,0.89,0.94,0.95,0.88,0.81,0.95,0.91,0.81
ibatisdb.csv,0.08,0.17,0.16,0.21,0.16,0.21,0.27,0.22,0.0,0.21,0.06,0.27,0.09,0.0,0.13
intact.csv,0.5,0.33,0.15,0.64,0.4,0.0,0.27,0.33,0.31,0.73,0.36,0.22,0.29,0.19,0.16
japano.csv,0.94,1.0,0.46,0.64,0.91,0.84,0.18,0.0,0.84,0.95,0.92,0.95,0.94,0.95,0.87
lockss.csv,0.04,0.0,0.18,0.07,0.04,0.1,0.18,0.0,0.04,0.0,0.34,0.08,0.08,0.04,0.0
ofbiz.csv,0.4,0.5,0.4,0.5,0.21,0.41,0.45,0.44,0.31,0.28,0.52,0.03,0.0,0.34,0.29
officefloor.csv,0.23,0.0,0.64,0.86,0.29,0.49,0.91,0.78,0.03,0.17,0.0,0.7,0.0,0.86,0.74
opennms.csv,0.17,0.33,0.04,0.07,0.01,0.05,0.27,0.11,0.03,0.07,0.08,0.14,0.06,0.15,0.03
rohxel.csv,0.75,0.83,0.45,0.5,0.64,0.52,0.0,0.67,0.81,0.59,0.62,0.68,0.37,0.6,0.61
roolo.csv,0.19,0.33,0.05,0.0,0.26,0.23,0.0,0.0,0.24,0.2,0.37,0.0,0.23,0.37,0.29
sevenupdate.csv,0.94,0.0,1.0,1.0,0.91,1.0,1.0,1.0,0.85,0.27,0.94,0.73,0.86,0.94,0.81
web-cat.csv,0.37,0.17,0.54,0.71,0.44,0.45,0.73,0.44,0.21,0.35,0.53,0.62,0.46,0.51,0.0
