,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.01,0.88,0.31,1.0,0.28,0.39,0.79,0.93,0.36,0.21,0.03,0.28,0.72,0.35,0.41
encog-cs.csv,0.0,0.92,0.36,0.88,0.28,0.29,0.79,0.93,1.0,0.15,0.03,0.36,0.68,0.26,0.39
extprosys.csv,0.01,0.87,0.96,0.88,0.26,0.28,0.78,0.93,0.34,0.19,0.02,0.38,0.64,0.26,0.39
ibatisdb.csv,0.0,0.86,0.25,0.82,0.37,0.25,0.79,0.93,1.0,0.05,0.06,0.17,0.75,1.0,0.64
intact.csv,0.02,0.94,0.41,0.87,0.34,1.0,0.87,0.93,0.49,0.14,0.04,0.43,0.77,0.2,0.62
japano.csv,0.01,0.88,0.39,0.89,0.22,0.31,0.89,1.0,0.37,0.19,0.03,0.35,0.68,0.24,0.36
lockss.csv,0.0,1.0,0.25,0.83,0.4,0.22,0.67,1.0,0.67,1.0,0.0,0.67,0.56,0.0,1.0
ofbiz.csv,0.0,0.89,0.3,0.88,0.3,0.21,0.82,0.91,0.44,0.21,0.04,0.5,1.0,0.4,0.55
officefloor.csv,0.0,1.0,0.25,0.88,0.33,0.25,0.76,0.94,0.25,0.11,0.85,0.37,1.0,0.26,0.42
opennms.csv,0.05,0.5,0.45,0.92,0.96,0.56,0.83,0.9,0.62,0.33,0.04,0.44,0.81,0.2,0.0
rohxel.csv,0.01,0.89,0.36,0.91,0.27,0.3,1.0,0.94,0.36,0.24,0.03,0.29,0.72,0.35,0.42
roolo.csv,0.0,0.83,0.42,1.0,0.23,0.29,1.0,1.0,0.26,0.25,0.02,1.0,0.69,0.17,0.25
sevenupdate.csv,0.0,1.0,0.28,0.88,0.28,0.28,0.76,0.93,0.35,0.14,0.03,0.37,0.68,0.26,0.4
web-cat.csv,0.0,0.96,0.24,0.86,0.31,0.31,0.69,0.92,0.51,0.18,0.03,0.39,0.66,0.14,1.0
