,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,1.0,0.86,0.79,1.0,0.75,0.8,0.69,0.54,0.95,0.91,0.97,0.45,0.8,0.94,0.84
encog-cs.csv,0.0,0.69,0.57,0.99,0.82,0.83,0.95,0.92,0.97,0.59,0.71,0.95,0.58,0.97,0.95
extprosys.csv,1.0,0.84,0.91,0.89,0.89,0.8,0.72,0.82,0.86,0.91,0.71,0.9,0.83,0.92,0.84
ibatisdb.csv,0.0,0.12,0.13,0.14,0.25,0.17,0.28,0.22,0.06,0.05,0.16,0.1,0.13,0.94,0.37
intact.csv,1.0,0.61,0.26,0.59,0.57,0.93,0.51,0.3,0.55,0.5,0.47,0.3,0.47,0.14,0.42
japano.csv,1.0,0.88,0.75,0.72,0.71,0.93,0.41,1.0,0.88,0.91,0.97,0.95,0.97,0.89,0.79
lockss.csv,0.0,0.02,0.15,0.05,0.07,0.07,0.1,0.09,0.15,0.86,0.05,0.3,0.05,0.0,0.11
ofbiz.csv,0.0,0.51,0.43,0.48,0.25,0.27,0.59,0.34,0.42,0.32,0.82,0.05,1.0,0.67,0.58
officefloor.csv,0.0,0.33,0.55,0.85,0.39,0.4,0.82,0.84,0.02,0.09,0.74,0.75,0.0,0.89,0.89
opennms.csv,1.0,0.04,0.09,0.12,0.96,0.17,0.38,0.07,0.08,0.14,0.11,0.2,0.13,0.11,0.0
rohxel.csv,1.0,0.8,0.64,0.71,0.64,0.53,0.97,0.74,0.8,0.77,0.74,0.5,0.47,0.94,0.74
roolo.csv,0.0,0.2,0.09,0.11,0.21,0.23,0.1,0.19,0.15,0.27,0.29,0.95,0.24,0.22,0.16
sevenupdate.csv,0.0,1.0,0.96,0.96,0.96,0.97,0.87,0.96,0.83,0.18,0.95,0.8,0.88,0.94,0.89
web-cat.csv,0.0,0.49,0.43,0.61,0.54,0.5,0.46,0.38,0.39,0.32,0.5,0.75,0.44,0.25,1.0
