,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,0.81,0.73,0.67,0.5,0.36,0.32,0.53,0.69,0.51,0.72,0.63,0.37,0.65,0.72,0.7,0.76,0.65,0.79
cornerstone.csv,0.49,0.25,0.24,0.21,0.2,0.24,0.0,0.24,0.01,0.03,0.71,0.56,0.16,0.37,0.05,0.59,0.44,0.43
emeraldemu.csv,0.84,0.64,0.82,1.0,0.16,0.16,0.4,0.69,0.36,0.62,0.61,0.07,0.31,0.07,0.55,0.15,0.6,0.14
grafx2.csv,0.86,0.74,0.7,0.75,0.24,0.31,0.6,0.71,0.46,0.62,0.67,0.81,0.61,0.77,0.89,0.76,0.72,0.71
jahshakafx.csv,0.82,0.71,0.91,0.71,0.3,0.21,0.47,0.79,0.48,0.56,0.65,0.15,0.51,0.53,0.7,0.71,0.67,0.79
kindb.csv,0.87,0.82,0.97,0.96,0.74,0.46,0.8,0.86,0.74,0.81,0.82,0.41,0.81,0.72,0.63,0.79,0.86,0.29
maya-work-in-progress.csv,0.93,0.8,0.76,0.62,0.86,0.53,0.93,0.89,0.78,0.88,0.98,0.93,0.74,0.67,0.68,0.68,0.84,0.93
netatalk.csv,0.72,0.84,0.85,0.92,0.44,0.56,0.73,0.74,0.74,0.75,0.71,0.44,0.68,0.7,0.79,0.79,0.77,0.93
novembre.csv,0.74,0.69,0.33,0.38,0.18,0.39,0.67,0.55,0.71,0.5,0.49,0.78,0.16,0.49,0.57,0.82,0.67,0.93
ns-3.csv,0.69,0.65,0.3,0.08,0.48,0.67,1.0,0.36,0.74,0.44,0.53,1.0,0.84,0.79,0.64,0.88,0.91,0.93
nullc.csv,0.74,1.0,1.0,1.0,0.62,0.44,0.73,0.7,0.47,0.34,0.73,0.37,0.68,0.6,0.63,0.53,0.88,0.29
open-beos.csv,0.95,0.82,0.7,0.83,0.48,0.43,0.8,0.83,0.63,0.47,0.41,0.96,0.63,0.95,0.71,1.0,0.75,1.0
planeshift.csv,0.98,0.96,0.82,0.88,0.8,0.61,0.8,0.82,0.81,0.88,0.71,0.96,0.66,0.72,0.84,0.79,0.92,1.0
plee-the-bear.csv,0.85,0.44,0.79,0.17,0.56,0.62,0.6,0.69,0.73,0.69,0.76,0.89,0.65,0.7,0.57,0.65,0.6,0.64
reaper-ecad.csv,0.51,0.2,0.3,0.75,0.26,0.04,0.0,0.37,0.15,0.03,0.29,0.0,0.22,0.0,0.17,0.15,0.43,0.14
sbml.csv,0.81,0.77,0.79,0.96,0.36,0.55,0.8,0.91,0.71,0.75,0.86,0.96,0.84,0.56,0.72,0.85,0.69,0.71
unimrcp.csv,0.87,0.73,0.67,0.88,0.42,0.41,0.8,0.6,0.41,0.56,0.65,0.7,0.56,0.53,0.49,0.71,0.76,0.5
unladen-swallow.csv,0.2,0.44,0.48,0.04,0.24,0.34,0.53,0.43,0.36,0.38,0.29,0.74,0.51,0.44,0.13,0.44,0.55,0.71
