,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,0.81,0.71,0.67,0.54,0.41,0.36,0.56,0.7,0.54,0.74,0.58,0.42,0.65,0.74,0.67,0.78,0.66,0.77
cornerstone.csv,0.53,0.29,0.28,0.25,0.24,0.28,0.0,0.28,0.01,0.04,0.7,0.6,0.19,0.42,0.06,0.64,0.48,0.47
emeraldemu.csv,0.73,0.65,0.7,0.38,0.19,0.19,0.45,0.71,0.41,0.65,0.57,0.09,0.36,0.09,0.59,0.18,0.62,0.17
grafx2.csv,0.8,0.72,0.68,0.74,0.28,0.35,0.62,0.71,0.49,0.65,0.61,0.73,0.61,0.78,0.65,0.76,0.66,0.72
jahshakafx.csv,0.8,0.7,0.73,0.7,0.35,0.25,0.51,0.73,0.52,0.6,0.61,0.18,0.55,0.57,0.69,0.74,0.67,0.74
kindb.csv,0.78,0.53,0.3,0.82,0.72,0.49,0.52,0.7,0.64,0.78,0.54,0.45,0.7,0.71,0.64,0.81,0.67,0.34
maya-work-in-progress.csv,0.68,0.72,0.72,0.64,0.73,0.55,0.7,0.73,0.63,0.87,0.09,0.82,0.7,0.69,0.68,0.7,0.71,0.78
netatalk.csv,0.7,0.63,0.61,0.39,0.47,0.56,0.64,0.63,0.6,0.65,0.5,0.47,0.68,0.66,0.68,0.68,0.62,0.86
novembre.csv,0.75,0.68,0.37,0.39,0.22,0.43,0.68,0.56,0.55,0.54,0.5,0.68,0.19,0.52,0.41,0.73,0.68,0.75
ns-3.csv,0.7,0.66,0.34,0.1,0.52,0.65,0.36,0.38,0.61,0.48,0.55,0.21,0.6,0.13,0.43,0.39,0.55,0.13
nullc.csv,0.58,0.0,0.0,0.05,0.67,0.48,0.68,0.66,0.5,0.39,0.63,0.42,0.61,0.62,0.61,0.58,0.57,0.33
open-beos.csv,0.83,0.75,0.7,0.75,0.52,0.47,0.71,0.71,0.65,0.52,0.45,0.4,0.59,0.68,0.7,0.41,0.7,0.43
planeshift.csv,0.3,0.46,0.54,0.17,0.47,0.59,0.6,0.73,0.6,0.75,0.58,0.59,0.67,0.72,0.68,0.71,0.42,0.49
plee-the-bear.csv,0.8,0.48,0.79,0.2,0.53,0.58,0.56,0.5,0.62,0.72,0.61,0.74,0.58,0.59,0.54,0.63,0.6,0.56
reaper-ecad.csv,0.56,0.24,0.35,0.75,0.31,0.05,0.0,0.42,0.18,0.04,0.34,0.0,0.26,0.0,0.2,0.18,0.48,0.17
sbml.csv,0.77,0.73,0.69,0.76,0.41,0.57,0.47,0.52,0.67,0.63,0.72,0.7,0.62,0.6,0.74,0.72,0.67,0.64
unimrcp.csv,0.72,0.68,0.66,0.83,0.47,0.45,0.64,0.63,0.45,0.6,0.48,0.71,0.58,0.58,0.54,0.75,0.67,0.54
unladen-swallow.csv,0.24,0.48,0.52,0.05,0.28,0.39,0.51,0.47,0.4,0.43,0.34,0.72,0.53,0.49,0.16,0.48,0.58,0.7
