,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv,trinitycore.csv,zemljanka.csv,rockbox.csv
adobe-source.csv,0.91,0.89,0.65,1.0,1.0,0.68,0.63,0.96,1.0,0.7,1.0,0.67,0.73,0.37,0.65,0.72,1.0,0.85
atlc.csv,0.78,0.7,0.71,0.85,0.3,0.87,0.79,0.72,0.94,0.82,0.96,0.65,1.03,0.78,0.44,0.66,0.73,0.8
ipfilter.csv,0.93,0.68,0.67,0.94,0.94,0.84,0.86,0.59,0.98,0.7,0.94,0.68,1.02,0.8,0.12,0.84,0.73,0.78
liferea.csv,0.56,0.6,0.44,0.71,0.85,0.62,0.7,0.79,0.9,0.63,0.84,0.58,0.46,0.78,0.6,0.54,0.78,0.9
miranda-icq.csv,0.82,0.78,0.75,0.72,0.71,0.82,0.96,0.75,0.73,0.81,0.87,0.7,0.85,0.8,0.85,0.81,0.97,0.95
opensim4opencog.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pclasses.csv,0.55,0.78,1.0,1.0,1.0,1.0,1.0,0.79,1.0,1.0,1.0,1.0,0.89,0.97,1.0,0.73,1.0,0.52
pfaedit.csv,0.67,0.5,0.49,0.85,1.0,0.44,0.38,0.83,0.9,0.76,0.79,0.98,0.51,0.61,0.96,0.54,0.96,0.41
psrchive.csv,0.91,0.85,0.93,0.79,0.8,1.02,0.89,0.69,1.0,0.84,0.84,0.68,0.82,0.84,0.6,0.89,0.73,1.0
rockbox.csv,0.91,0.6,0.59,0.93,1.0,0.3,0.71,1.0,0.9,0.63,0.96,0.81,0.83,0.78,1.0,0.75,0.93,0.34
theresa.csv,1.0,0.79,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.84,1.0,0.96,0.85,0.9,0.89,0.96,0.88,1.0
thrust.csv,1.0,0.96,0.93,1.0,1.0,1.0,0.93,0.98,0.83,0.95,1.0,0.94,0.98,0.83,0.83,1.0,0.98,0.91
tktoolkit.csv,0.91,0.94,1.0,1.0,1.0,1.0,0.98,1.0,0.83,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.96
trinitycore.csv,0.83,0.84,0.93,1.0,1.0,0.38,0.92,1.0,1.0,1.0,1.0,1.0,0.9,0.97,0.62,0.77,1.0,1.0
tzod.csv,0.68,0.49,0.51,0.36,0.81,0.76,0.98,0.87,0.9,0.6,0.93,0.6,0.7,0.83,0.49,0.84,0.68,1.0
yaprm.csv,0.65,0.63,0.73,1.0,1.0,0.71,1.0,0.92,0.73,0.51,1.0,1.0,1.05,0.64,1.0,0.73,1.0,0.85
zemljanka.csv,0.98,0.98,1.0,1.0,1.0,1.0,0.97,1.0,0.96,1.0,0.99,0.99,1.0,0.98,0.9,0.99,0.89,0.81
