,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv,trinitycore.csv,zemljanka.csv,rockbox.csv
adobe-source.csv,2.0,0.0,2.0,56.0,69.0,7.0,0.0,5.0,63.0,3.0,177.0,1.0,0.0,0.0,1.0,4.0,210.0,0.0
atlc.csv,1.0,5.0,4.0,6.0,0.0,40.0,1.0,12.0,1.0,0.0,3.0,8.0,0.0,13.0,1.0,8.0,0.0,10.0
ipfilter.csv,1.0,4.0,3.0,6.0,0.0,42.0,1.0,5.0,1.0,0.0,2.0,4.0,0.0,14.0,0.0,14.0,0.0,15.0
liferea.csv,4.0,2.0,2.0,1.0,0.0,30.0,1.0,6.0,0.0,0.0,6.0,2.0,0.0,13.0,0.0,1.0,0.0,0.0
miranda-icq.csv,4.0,1.0,5.0,2.0,0.0,24.0,0.0,9.0,1.0,0.0,6.0,5.0,0.0,7.0,0.0,3.0,0.0,0.0
opensim4opencog.csv,66.0,74.0,88.0,56.0,69.0,52.0,88.0,187.0,0.0,74.0,177.0,201.0,196.0,161.0,64.0,223.0,210.0,50.0
pclasses.csv,1.0,1.0,88.0,56.0,69.0,52.0,88.0,1.0,63.0,74.0,177.0,201.0,0.0,7.0,64.0,2.0,210.0,0.0
pfaedit.csv,0.0,2.0,2.0,3.0,69.0,21.0,0.0,6.0,3.0,3.0,7.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
psrchive.csv,3.0,0.0,1.0,7.0,0.0,52.0,1.0,7.0,63.0,1.0,10.0,3.0,0.0,0.0,0.0,1.0,0.0,50.0
rockbox.csv,4.0,1.0,2.0,1.0,69.0,14.0,2.0,187.0,2.0,1.0,3.0,3.0,0.0,8.0,64.0,2.0,0.0,0.0
theresa.csv,66.0,1.0,88.0,56.0,2.0,52.0,88.0,187.0,63.0,0.0,177.0,3.0,0.0,2.0,0.0,2.0,0.0,50.0
thrust.csv,66.0,2.0,4.0,56.0,69.0,52.0,0.0,16.0,3.0,0.0,177.0,1.0,0.0,8.0,0.0,223.0,0.0,3.0
tktoolkit.csv,1.0,5.0,88.0,56.0,69.0,52.0,0.0,187.0,0.0,74.0,177.0,201.0,0.0,161.0,64.0,223.0,210.0,5.0
trinitycore.csv,2.0,1.0,1.0,56.0,69.0,9.0,2.0,187.0,63.0,74.0,177.0,201.0,0.0,4.0,0.0,1.0,210.0,50.0
tzod.csv,4.0,1.0,3.0,0.0,0.0,34.0,1.0,4.0,1.0,0.0,10.0,2.0,0.0,11.0,0.0,5.0,1.0,50.0
yaprm.csv,1.0,12.0,16.0,56.0,69.0,12.0,88.0,12.0,1.0,1.0,177.0,201.0,0.0,10.0,64.0,8.0,210.0,10.0
zemljanka.csv,1.0,4.0,4.0,6.0,0.0,49.0,0.0,13.0,0.0,0.0,3.0,4.0,0.0,14.0,0.0,13.0,0.0,9.0
